"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action"
0,0,0,0,0,0
0,217.741018164382,0,0,0,0
46.9439688478497,2353.10698194691,0,0,0,0
0,0,605.844799251751,0,0,0
0,1458.4970653891,46.9439688478497,0,0,0
0,0,0,811.424064949729,0,0
1458.4970653891,46.9439688478497,0,1458.4970653891,0,0
0,0,811.424064949729,605.844799251751,0,0
0,0,0,0,2353.10698194691,0
217.741018164382,0,0,0,811.424064949729,0
0,1458.4970653891,0,0,1458.4970653891,0
811.424064949729,605.844799251751,0,0,605.844799251751,0
0,0,2353.10698194691,0,46.9439688478497,0
605.844799251751,0,811.424064949729,0,217.741018164382,0
0,2353.10698194691,1458.4970653891,0,2353.10698194691,0
217.741018164382,0,0,217.741018164382,811.424064949729,0
0,1458.4970653891,0,2353.10698194691,1458.4970653891,0
0,0,217.741018164382,811.424064949729,605.844799251751,0
0,0,0,0,0,2353.10698194691
605.844799251751,217.741018164382,0,0,0,811.424064949729
0,0,1458.4970653891,0,0,1458.4970653891
217.741018164382,0,605.844799251751,0,0,605.844799251751
0,0,0,2353.10698194691,0,46.9439688478497
811.424064949729,0,0,811.424064949729,0,217.741018164382
0,46.9439688478497,0,1458.4970653891,0,2353.10698194691
605.844799251751,0,0,0,217.741018164382,811.424064949729
0,2353.10698194691,0,0,2353.10698194691,1458.4970653891
0,0,605.844799251751,0,811.424064949729,605.844799251751
0,0,0,2353.10698194691,1458.4970653891,46.9439688478497
811.424064949729,0,217.741018164382,0,0,0
1458.4970653891,0,0,1458.4970653891,0,0
605.844799251751,0,811.424064949729,605.844799251751,0,0
