"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action"
0,46.9439688478497,0,0,0,0
1334.04114225277,74.8556742373212,0,0,0,0
0,0,840.010636307302,0,0,0
0,219.777998376598,1334.04114225277,0,0,0
0,0,0,3010.87245844131,0,0
0,1334.04114225277,0,219.777998376598,0,0
0,0,0,0,46.9439688478497,0
1334.04114225277,0,0,0,74.8556742373212,0
0,3010.87245844131,0,0,3010.87245844131,0
74.8556742373212,219.777998376598,0,0,219.777998376598,0
0,0,46.9439688478497,0,840.010636307302,0
219.777998376598,0,0,219.777998376598,1334.04114225277,0
0,46.9439688478497,0,840.010636307302,46.9439688478497,0
1334.04114225277,74.8556742373212,0,1334.04114225277,74.8556742373212,0
46.9439688478497,0,840.010636307302,46.9439688478497,3010.87245844131,0
0,219.777998376598,1334.04114225277,74.8556742373212,219.777998376598,0
3010.87245844131,840.010636307302,46.9439688478497,3010.87245844131,840.010636307302,0
0,0,0,0,0,74.8556742373212
840.010636307302,0,3010.87245844131,0,0,3010.87245844131
1334.04114225277,74.8556742373212,219.777998376598,0,0,219.777998376598
46.9439688478497,0,0,46.9439688478497,0,840.010636307302
74.8556742373212,219.777998376598,0,74.8556742373212,0,1334.04114225277
3010.87245844131,840.010636307302,46.9439688478497,3010.87245844131,0,46.9439688478497
0,0,0,0,1334.04114225277,74.8556742373212
840.010636307302,0,3010.87245844131,0,46.9439688478497,3010.87245844131
1334.04114225277,74.8556742373212,219.777998376598,0,74.8556742373212,219.777998376598
0,0,0,46.9439688478497,3010.87245844131,840.010636307302
74.8556742373212,219.777998376598,0,74.8556742373212,219.777998376598,1334.04114225277
3010.87245844131,0,46.9439688478497,3010.87245844131,840.010636307302,46.9439688478497
0,1334.04114225277,74.8556742373212,219.777998376598,1334.04114225277,74.8556742373212
840.010636307302,46.9439688478497,3010.87245844131,840.010636307302,46.9439688478497,3010.87245844131
1334.04114225277,0,0,0,0,0
