"ACWR.action.outcome","FEMI.action.outcome","HOMU.action.outcome","PLER.action.outcome","SACO.action.outcome","URLI.action.outcome"
0,0,0,0,0,0
0,0,697.323397984765,0,0,0
0,902.336326086949,0,0,0,0
0,474.861511334601,0,0,0,0
0,0,0,1428.37332734592,0,0
0,0,0,0,763.175414719967,0
0,4581.09151943348,0,0,0,0
0,0,39.0632219278615,0,2357.6460549425,0
0,0,0,0,2263.7037666335,0
0,398.880193194057,0,86.9772838393037,0,0
0,0,0,500.097438579651,134.196260096742,0
0,0,2.45875425368571,0,2247.72896017038,0
0,0,0,0,2214.78740194477,0
0,0,0,0,0,4191.2831743159
0,726.041732360807,0,0,0,0
5464.43766075534,0,0,0,0,426.900793054013
0,0,0,987.263597304847,0,3439.90411454528
0,379.537782564884,0,0,0,165.631764417567
6450.26837697331,0,0,0,0,122.081767906942
0,427.262731892553,0,0,0,190.633630379555
0,1477.14654421215,0,107.797175770782,0,445.038931156619
0,0,0,0,2536.17446507285,0
3284.11729601828,0,0,0,216.84274410951,0
0,0,0,0,1876.18134893895,0
0,3736.54619370238,0,0,0,0
0,0,112.323427212289,0,2517.0059194323,0
3131.17012187095,0,0,0,197.677347903887,0
0,0,0,86.8579085899858,2073.64440457262,0
0,0,0,0,0,0
0,0,0,80.0970117311782,2061.27174051061,0
0,2011.97157459838,0,262.983968342347,41.3629699841697,291.072140832276
5817.77506999195,0,0,0,0,0
