"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
0,0,0,0,0,0
0,0,1102.61802084998,0,0,0
0,3584.74335264496,0,0,0,0
0,3584.74335264496,0,0,0,0
0,0,0,1102.61802084998,0,0
0,3584.74335264496,0,0,0,0
0,0,0,0,9232.89870826701,0
2641.71713706419,0,0,0,6930.32294970112,0
0,2641.71713706419,0,0,4407.53959331164,0
0,0,0,0,4407.53959331164,0
0,0,0,0,4407.53959331164,0
0,0,0,0,4407.53959331164,0
0,0,0,0,4407.53959331164,0
2641.71713706419,0,0,0,6930.32294970112,0
0,0,0,1102.61802084998,4407.53959331164,0
0,0,0,1102.61802084998,4407.53959331164,0
9232.89870826701,0,0,0,0,0
0,2641.71713706419,0,0,0,3584.74335264496
0,3584.74335264496,0,0,0,0
0,0,1102.61802084998,0,0,3584.74335264496
9232.89870826701,0,0,0,0,208.803564980792
0,3584.74335264496,0,0,0,0
0,3584.74335264496,0,0,0,0
0,0,0,1102.61802084998,0,5270.7730035594
0,0,0,0,9232.89870826701,208.803564980792
2641.71713706419,0,0,0,6930.32294970112,0
0,0,0,0,4407.53959331164,0
0,0,0,0,9232.89870826701,208.803564980792
6930.32294970112,0,0,0,0,0
6930.32294970112,0,0,0,0,0
6930.32294970112,0,0,208.803564980792,0,0
6930.32294970112,0,0,208.803564980792,0,0
