"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
0,0,0,0,0,0,"wet",0,0,0,0,0,0,64
1,1,0,0,0,0,"dry",5976.62903988232,0,0,0,0,0,3
0,1,0,1,0,0,"dry",0,2309.58830101005,0,486.446193048757,0,0,10
0,0,0,0,1,0,"wet",0,0,0,0,8614.48470697596,0,16
0,0,1,0,1,0,"wet",0,0,0,0,8614.48470697596,0,20
0,0,0,1,1,0,"wet",0,0,0,0,8614.48470697596,0,24
0,1,0,0,0,1,"wet",0,3742.9676508044,0,0,0,0,34
0,0,0,1,0,1,"wet",0,0,0,1661.90085269464,0,5415.10438963565,40
1,0,1,0,0,0,"dry",5976.62903988232,0,0,0,0,0,5
1,0,0,1,0,0,"dry",5487.54449852134,0,0,283.560254190435,0,0,9
