"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
0,2541.78142645515,0,0,0,0
6734.65081210474,0,0,0,0,0
0,0,2541.78142645515,0,0,0
0,2541.78142645515,0,0,0,0
0,0,0,863.886182441503,0,0
6734.65081210474,0,0,228.198428248247,0,0
0,0,0,863.886182441503,0,0
0,0,0,0,4974.60158981431,0
2541.78142645515,0,0,0,9183.97309602594,0
0,0,0,0,4974.60158981431,0
0,0,0,0,9183.97309602594,0
0,2541.78142645515,0,0,4310.02964730706,0
0,0,0,228.198428248247,4310.02964730706,0
0,0,0,228.198428248247,4310.02964730706,0
0,0,0,0,0,6734.65081210474
0,2541.78142645515,0,0,0,0
9183.97309602594,0,0,0,0,228.198428248247
9183.97309602594,0,0,0,0,0
9183.97309602594,0,0,0,0,228.198428248247
0,2541.78142645515,0,0,0,0
0,0,0,0,4974.60158981431,0
0,0,0,0,4974.60158981431,0
0,0,0,0,4974.60158981431,0
0,0,0,0,4974.60158981431,0
0,0,0,0,4974.60158981431,0
0,0,0,0,4974.60158981431,0
0,2541.78142645515,0,0,4310.02964730706,0
0,0,0,0,9183.97309602594,228.198428248247
0,0,0,228.198428248247,4310.02964730706,0
0,0,0,228.198428248247,4310.02964730706,0
6734.65081210474,0,0,0,0,0
6734.65081210474,0,0,0,0,0
