"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
0,0,0,0,0,0
0,3357.39743822379,0,0,0,0
5756.12765078076,0,0,0,0,0
0,2836.58955016297,0,0,0,0
0,3357.39743822379,0,0,0,0
0,0,0,1707.92915942623,0,0
0,3357.39743822379,0,0,0,0
0,1707.92915942623,0,391.906819224474,0,0
0,3357.39743822379,0,0,0,0
0,0,0,0,8294.79934046893,0
0,0,0,0,5756.12765078076,0
0,0,0,0,5756.12765078076,0
0,0,0,0,8294.79934046893,0
0,2836.58955016297,0,0,3959.65669966983,0
0,1707.92915942623,0,0,3959.65669966983,0
0,1707.92915942623,0,0,0,3357.39743822379
0,3357.39743822379,0,0,0,0
0,0,0,0,0,8294.79934046893
8294.79934046893,0,0,0,0,0
0,0,0,1707.92915942623,0,3357.39743822379
4586.78973337551,0,0,391.906819224474,0,3357.39743822379
0,3357.39743822379,0,0,0,0
0,0,0,0,5756.12765078076,0
0,0,0,0,5756.12765078076,0
0,2836.58955016297,0,0,3959.65669966983,0
0,0,0,391.906819224474,4586.78973337551,0
0,2836.58955016297,0,0,3959.65669966983,0
0,1707.92915942623,0,0,3959.65669966983,0
0,0,0,0,8294.79934046893,391.906819224474
2836.58955016297,0,0,0,8294.79934046893,0
0,2836.58955016297,0,0,3959.65669966983,0
5756.12765078076,0,0,391.906819224474,0,0
