"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action"
1378.25233862325,4835.26206048158,0,0,4835.26206048158,0
914.567140016991,302.714141695288,0,914.567140016991,302.714141695288,0
0,0,4835.26206048158,0,1378.25233862325,0
105.317558351545,914.567140016991,0,105.317558351545,0,302.714141695288
0,0,1378.25233862325,4835.26206048158,0,1378.25233862325
302.714141695288,0,914.567140016991,0,105.317558351545,914.567140016991
1378.25233862325,4835.26206048158,0,0,4835.26206048158,0
914.567140016991,302.714141695288,0,914.567140016991,302.714141695288,105.317558351545
0,0,4835.26206048158,0,1378.25233862325,4835.26206048158
0,914.567140016991,302.714141695288,105.317558351545,914.567140016991,302.714141695288
