"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
0,0,0,0,0,0
0,2755.42687427732,0,0,0,0
0,0,786.995011139359,0,0,0
0,3742.9676508044,0,0,0,0
0,0,0,855.75979903007,0,0
0,2309.58830101005,0,486.446193048757,0,0
0,2309.58830101005,0,486.446193048757,0,0
0,0,0,0,5072.11153581888,0
2953.3891618733,0,0,0,8391.21142810233,0
0,0,0,0,5072.11153581888,0
0,0,0,0,5072.11153581888,0
0,0,0,0,5072.11153581888,0
0,2701.35187468276,0,0,4176.34574853526,0
0,0,0,387.177162777096,4877.09164380973,0
0,0,0,0,0,3936.44733681903
10074.5859884317,0,0,0,0,69.2863079044862
0,3742.9676508044,0,0,0,0
0,0,720.933983618679,0,0,3494.1090391444
4922.35590061265,0,0,278.821257961259,0,3027.14141695288
0,3742.9676508044,0,0,0,0
10074.6028629558,0,0,0,0,69.2466660611801
4922.35590061265,0,0,278.821257961258,0,3027.14141695288
0,0,0,0,8541.21672277401,177.448193675883
2953.38916187329,0,0,0,8391.21142810233,0
0,2701.35187468276,0,0,4176.34574853526,0
0,0,0,0,5072.11153581888,0
2953.38916187329,0,0,0,8391.21142810233,0
0,2701.35187468275,0,0,4176.34574853526,0
2953.38916187329,0,0,0,8391.21142810233,0
0,2701.35187468276,0,0,4176.34574853526,0
5976.62903988232,0,0,0,0,0
5976.62903988232,0,0,0,0,0
