"ACWR.action.outcome","FEMI.action.outcome","HOMU.action.outcome","PLER.action.outcome","SACO.action.outcome","URLI.action.outcome"
0,2273.81986914389,0,0,0,0
0,0,649.888526187697,0,0,0
0,2264.48253885599,0,0,0,0
0,0,0,611.419580939874,0,0
0,1746.14118384262,0,0,0,0
0,1739.25883280859,0,0,0,0
117.655905288223,0,0,0,1585.33411941547,0
0,141.106657396286,0,0,256.514391964473,0
0,1135.34706814019,0,0,0,0
0,0,168.824976112558,0,1138.77485534579,0
0,1116.60695773879,0,0,0,0
0,0,0,183.702295311272,229.003304542184,0
0,2474.76616275652,0,0,0,0
0,0,0,134.830748736407,762.009981342418,0
0,0,1.82433489088842,293.691289092834,676.381778359911,0
0,2460.01417006725,0,0,0,0
0,0,540.893658566684,0,0,2477.64180889567
0,2571.19248297225,0,0,0,0
4088.70261696221,0,0,0,0,2431.77676935893
2725.27697009982,0,0,25.1928766056572,0,1566.6563891177
0,0,0,545.230702774438,0,1484.10886133594
2472.41517731384,0,0,120.606709432249,0,1950.03315547409
0,0,0,0,1411.26691151599,0
0,0,0,0,1465.48202789946,0
0,0,0,0,171.742100937187,0
0,0,0,0,2955.75137612331,0
0,0,55.9551615565863,0,1540.85298563612,0
0,0,0,89.673856499126,976.307064599089,0
0,0,0,81.8648215362565,303.24840818853,0
0,0,0,87.1212903338024,1027.52818112955,0
0,0,0,77.387793332312,333.833885125947,0
6564.40637339717,0,0,0,0,0
