"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
0,3385.05453387864,0,0,0,0
6731.6614819606,0,0,0,0,3385.05453387864
4977.43060586449,0,0,228.198428248247,0,2864.24664581782
0,0,0,0,4977.43060586449,0
