"V1","V2","V3","V4","V5","V6"
0,1.81898940354586e-11,0,387.177199999997,4877.09199999998,0
2.64321897702757e-12,0,3.42989060526694e-10,387.177200000007,4877.092,0
4922.356,0,0,278.8213,0,3027.1414
0,4839.73336027115,3.40179337531324e-10,0,0,0
0,4096.45575285922,0,0,1096.07776713237,0
23.1243524795619,0,0,0,6125.02770579937,54.0539349739919
8.81072992342524e-12,0,0,387.177200000019,4877.09200000003,1.4210854715202e-12
0,0,2.04559718991966e-12,891.389545080301,105.381364328024,0
0,0,0,387.177199999982,4877.09199999996,0
0,5.0931703299284e-11,2.19380291342472e-09,387.177199999991,4877.09199999999,1.53477230924182e-12
