"V1","V2","V3","V4","V5","V6"
0,3742.968,0,0,0,0
0,3742.968,0,0,0,0
0,3809.91308227067,0,0,0,0
0,0,0,1833.91200709169,0,0
0,4365.9203946164,0,0,0,0
0,4577.5621537525,0,0,0,0
0,0,0,1800.78330516358,0,0
0,4330.83310813392,0,0,0,0
0,0,0,0,7301.71802071017,0
2953.38900000052,0,0,0,8391.21100000018,0
0,2502.73960213813,0,0,3869.16268629296,0
0,0,0,0,12023.9753116788,0
0,1871.32156527792,0,426.441104301303,2466.15386832012,0
0,0,0,0,11091.7731697601,0
0,0,0,0,0,8168.10333879734
6881.32824647045,0,0,0,0,2703.7358522818
0,3647.24686046198,0,0,0,920.600601815338
2189.21927536665,2122.3535571506,0,0,0,2212.31182739203
0,0,0,0,0,7922.16899474601
7070.1170988122,0,0,0,0,1868.72487399166
0,3679.01405238471,0,0,0,616.721043498344
0,0,0,60.7189368779482,0,7822.01393450176
1289.08730372825,0,0,378.871080247285,0,4984.94506323848
0,2930.94224041086,0,241.423177872096,0,967.90282715407
0,0,0,222.793906659031,0,6907.11348714404
0,0,0,0,9342.8652186359,292.211636641959
5992.62712636221,0,0,0,4838.27085004794,0
0,3139.87834343129,0,0,2488.53290027289,0
0,0,0,536.293576275491,5755.56974599517,259.448561399334
8496.6025232359,0,0,0,0,0
6217.87594534907,0,0,266.329484953593,0,0
6677.14365119645,0,0,226.270773037772,0,0
