"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
0,2755.42687427732,0,0,0,0
0,3742.9676508044,0,0,0,0
0,0,786.995011139359,0,0,0
5487.54449852134,0,0,283.560254190435,0,0
0,3742.9676508044,0,0,0,0
0,3742.9676508044,0,0,0,0
0,0,0,0,5072.11153581888,0
0,2701.35187468276,0,0,4176.34574853526,0
0,0,0,0,5072.11153581888,0
0,0,0,0,5072.11153581888,0
0,2701.35187468276,0,0,4176.34574853526,0
0,0,0,0,5072.11153581888,0
0,0,0,0,8614.48470697596,0
0,0,0,387.177162777096,4877.09164380973,0
0,0,0,387.177162777096,4877.09164380973,0
0,0,0,0,0,3936.44733681903
5357.77775471681,0,0,0,0,3267.30581840922
0,0,0,1661.90085269464,0,5415.10438963565
10074.6143443369,0,0,0,0,69.2196937193981
0,0,0,1661.90085269464,0,5415.10438963565
10074.6028629558,0,0,0,0,69.2466660611801
0,3742.9676508044,0,0,0,0
0,0,0,0,8541.21650090317,177.448724115955
0,0,0,0,5072.11153581888,0
0,0,0,0,8541.2176436367,177.445992113222
0,2701.35187468276,0,0,4176.34574853526,0
0,2701.35187468275,0,0,4176.34574853526,0
0,0,0,0,8541.21768214909,177.445900039294
0,2701.35187468275,0,0,4176.34574853526,0
5976.62903988232,0,0,0,0,0
5487.54449852134,0,0,283.560254190435,0,0
5487.54449852134,0,0,283.560254190435,0,0
