"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
0,0,0,0,0,0
6712.94202755983,0,0,0,0,0
0,2954.71780178124,0,0,0,0
0,0,0,1557.16065001289,0,0
0,0,0,0,6712.94202755983,0
0,2656.78161098192,0,0,4189.0154357048,0
0,0,0,410.743730200942,4780.69566159491,0
2954.71780178124,0,0,0,6712.94202755983,0
0,0,0,410.743730200942,4780.69566159491,0
0,0,0,410.743730200942,4780.69566159491,0
0,2656.78161098192,0,0,4189.0154357048,0
0,1557.16065001289,0,0,0,3509.41982721046
6712.94202755983,0,0,0,0,3509.41982721046
0,3509.41982721046,0,0,0,0
4780.69566159491,0,0,0,0,2954.71780178124
0,1557.16065001289,0,410.743730200942,0,2954.71780178124
0,0,0,1557.16065001289,0,2954.71780178124
0,3509.41982721046,0,0,0,0
0,0,0,0,6712.94202755983,0
0,2656.78161098192,0,0,4189.0154357048,0
0,2656.78161098192,0,0,4189.0154357048,0
