"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
0,0,0,0,0,0
0,3394.3293968072,0,0,0,0
0,3394.3293968072,0,0,0,0
0,3394.3293968072,0,0,0,0
0,1643.08077087744,0,391.906819224474,0,0
0,3394.3293968072,0,0,0,0
0,0,0,1643.08077087744,0,0
0,1643.08077087744,0,391.906819224474,0,0
0,0,0,0,9135.01468245987,0
0,0,0,0,4695.64519690155,0
0,0,0,0,4695.64519690155,0
0,0,0,0,4695.64519690155,0
0,2808.67312019758,0,0,3959.65669966983,0
0,0,0,0,9135.01468245987,0
2808.67312019758,0,0,0,9135.01468245987,0
0,2808.67312019758,0,0,3959.65669966983,0
0,0,0,0,9135.01468245987,0
0,0,0,0,0,6705.19845629774
0,1643.08077087744,0,0,0,3394.3293968072
6705.19845629774,0,0,0,0,3394.3293968072
0,0,0,0,0,6705.19845629774
9135.01468245987,0,0,0,0,0
0,1643.08077087744,0,0,0,3394.3293968072
4695.64519690155,0,0,391.906819224474,0,2808.67312019758
0,3394.3293968072,0,0,0,0
0,0,0,1643.08077087744,0,3394.3293968072
0,0,0,0,4695.64519690155,0
2808.67312019758,0,0,0,9135.01468245987,0
0,2808.67312019758,0,0,3959.65669966983,0
6705.19845629774,0,0,0,0,0
6705.19845629774,0,0,391.906819224474,0,0
6705.19845629774,0,0,391.906819224474,0,0
