"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action"
1084.53222532382,3712.73757732091,0,1084.53222532382,0,0
0,0,308.859302669177,374.29676508044,0,0
0,0,0,0,1084.53222532382,0
0,0,326.730581840922,0,374.29676508044,0
0,0,0,3712.73757732091,0,0
326.730581840922,0,0,326.730581840922,308.859302669177,0
0,3712.73757732091,0,1084.53222532382,3712.73757732091,0
374.29676508044,326.730581840922,0,0,0,308.859302669177
0,0,3712.73757732091,0,1084.53222532382,3712.73757732091
308.859302669177,0,326.730581840922,308.859302669177,0,0
