"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action"
0,0,0,0,0,0
0,168.86446303355,0,0,0,0
0,2921.80083378088,0,0,0,0
0,0,0,168.86446303355,0,0
0,0,0,2921.80083378088,0,0
623.361746596566,0,0,0,826.546044499458,0
1438.65172803205,0,0,0,0,0
0,0,623.361746596566,0,168.86446303355,0
0,0,1438.65172803205,0,2921.80083378088,0
168.86446303355,623.361746596566,826.546044499458,0,623.361746596566,0
2921.80083378088,0,0,2921.80083378088,1438.65172803205,0
0,826.546044499458,0,623.361746596566,826.546044499458,0
0,0,2921.80083378088,1438.65172803205,0,0
0,0,0,0,0,623.361746596566
0,0,0,0,0,1438.65172803205
168.86446303355,0,826.546044499458,0,0,826.546044499458
0,0,0,2921.80083378088,0,0
623.361746596566,826.546044499458,0,623.361746596566,0,168.86446303355
0,0,2921.80083378088,1438.65172803205,0,2921.80083378088
826.546044499458,0,623.361746596566,826.546044499458,0,623.361746596566
0,2921.80083378088,1438.65172803205,0,0,1438.65172803205
168.86446303355,0,0,0,623.361746596566,826.546044499458
0,1438.65172803205,0,0,1438.65172803205,0
623.361746596566,826.546044499458,0,0,826.546044499458,168.86446303355
0,0,2921.80083378088,0,0,2921.80083378088
826.546044499458,0,623.361746596566,0,168.86446303355,623.361746596566
0,2921.80083378088,1438.65172803205,0,2921.80083378088,1438.65172803205
168.86446303355,623.361746596566,0,168.86446303355,623.361746596566,826.546044499458
2921.80083378088,0,0,2921.80083378088,1438.65172803205,0
0,826.546044499458,168.86446303355,623.361746596566,826.546044499458,168.86446303355
1438.65172803205,0,0,0,0,0
826.546044499458,0,0,826.546044499458,0,0
