"ACWR.action.outcome","FEMI.action.outcome","HOMU.action.outcome","PLER.action.outcome","SACO.action.outcome","URLI.action.outcome"
0,935.561714532813,0.408666679896592,0,0,0
0,0,0.408666665098018,212.698360305656,0,0
0,0,0.408666665098018,0,3460.46182350349,0
0,0,0.408666665098018,159.890981920288,3972.65438242737,0
7777.74768297205,0,0.408666665098018,0,0,57.0955092976399
0,0,0.408666665098018,0,4628.13906845682,0
0,0,0.408666665098018,53.5853794231184,4414.22934915212,0
0,21149.9783102011,0.408666665098018,0,0,42.7564780504104
4100.78849001333,0,0.408666665098018,0,0,0
2970.36428837354,0,0.408666665098018,253.222351498191,0,0
