"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
0,3721.82578347224,0,0,0,0
0,0,1694.19621186577,0,0,0
0,3721.82578347224,0,0,0,0
7732.39826913002,0,0,0,0,0
0,0,0,1694.19621186577,0,0
0,0,0,1694.19621186577,0,0
7732.39826913002,0,0,378.173871664015,0,0
0,0,0,0,5144.97160643957,0
0,2827.37051827802,0,0,3721.82578347224,0
2827.37051827802,0,0,0,7732.39826913002,0
0,2827.37051827802,0,0,3721.82578347224,0
0,1694.19621186577,0,0,3721.82578347224,0
0,0,0,378.173871664015,4538.03476037322,0
0,1694.19621186577,0,0,3721.82578347224,0
0,0,0,0,0,3721.82578347224
5144.97160643957,0,0,0,0,3110.34749014126
7732.39826913002,0,0,0,0,0
0,1694.19621186577,0,0,0,3721.82578347224
5144.97160643957,0,0,0,0,3110.34749014126
0,0,0,1694.19621186577,0,3110.34749014126
5144.97160643957,0,0,378.173871664015,0,3110.34749014126
0,0,0,1694.19621186577,0,3110.34749014126
5144.97160643957,0,0,378.173871664015,0,3110.34749014126
2827.37051827802,0,0,0,7732.39826913002,0
2827.37051827802,0,0,0,7732.39826913002,0
0,0,0,0,5144.97160643957,0
0,0,0,0,5144.97160643957,0
0,0,0,378.173871664015,4538.03476037322,0
0,0,0,378.173871664015,4538.03476037322,0
0,2827.37051827802,0,0,3721.82578347224,0
0,1694.19621186577,0,0,3721.82578347224,0
7732.39826913002,0,0,0,0,0
