"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action"
0,0,0,0,0,0
0,0,85.575979903007,0,0,0
150.220700313119,295.33891618733,2200.45394648244,0,0,0
0,0,0,85.575979903007,0,0
2200.45394648244,150.220700313119,295.33891618733,0,150.220700313119,0
377.818481280483,0,1367.08612729008,377.818481280483,85.575979903007,0
0,2200.45394648244,0,0,0,150.220700313119
1367.08612729008,377.818481280483,0,0,0,85.575979903007
0,295.33891618733,2200.45394648244,150.220700313119,0,2200.45394648244
0,0,0,0,1367.08612729008,377.818481280483
