"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action"
0,0,0,0,0,0
838.992721721969,101.813933641001,0,0,0,0
0,0,1537.18265763485,0,0,0
0,632.51893476472,838.992721721969,0,0,0
2673.85088608751,1537.18265763485,47.1227810861887,0,0,0
0,838.992721721969,101.813933641001,632.51893476472,0,0
0,0,0,0,47.1227810861887,0
838.992721721969,0,0,0,101.813933641001,0
0,2673.85088608751,0,0,2673.85088608751,0
101.813933641001,632.51893476472,0,0,632.51893476472,0
0,0,47.1227810861887,0,1537.18265763485,0
632.51893476472,0,101.813933641001,0,838.992721721969,0
0,47.1227810861887,2673.85088608751,0,47.1227810861887,0
0,0,0,838.992721721969,101.813933641001,0
47.1227810861887,0,0,47.1227810861887,2673.85088608751,0
0,632.51893476472,0,101.813933641001,632.51893476472,0
0,0,0,0,0,47.1227810861887
632.51893476472,0,0,0,0,101.813933641001
0,47.1227810861887,0,0,0,2673.85088608751
0,0,632.51893476472,0,0,632.51893476472
47.1227810861887,0,1537.18265763485,0,0,1537.18265763485
101.813933641001,0,0,101.813933641001,0,838.992721721969
0,1537.18265763485,0,2673.85088608751,0,47.1227810861887
0,0,101.813933641001,632.51893476472,0,101.813933641001
0,0,0,0,47.1227810861887,2673.85088608751
838.992721721969,0,0,0,101.813933641001,632.51893476472
0,2673.85088608751,0,0,2673.85088608751,1537.18265763485
0,0,838.992721721969,0,632.51893476472,838.992721721969
0,0,0,2673.85088608751,1537.18265763485,47.1227810861887
632.51893476472,0,0,0,0,0
1537.18265763485,0,0,1537.18265763485,0,0
838.992721721969,0,632.51893476472,838.992721721969,0,0
