"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
2927.25596761545,0,0,0,7636.43958205485,0
0,1562.48175152613,0,0,3601.74358274407,0
5804.37656288517,0,0,300.528764204405,0,2927.25596761545
0,1562.48175152613,0,1562.48175152613,0,3601.74358274407
0,1562.48175152613,0,0,3601.74358274407,0
0,0,0,0,5804.37656288517,0
2927.25596761545,0,0,0,7636.43958205485,0
0,0,0,300.528764204405,4526.71869617249,0
0,0,0,0,7636.43958205485,0
0,1562.48175152613,0,0,3601.74358274407,0
