"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
1,1,1,1,0,0,"dry",5487.54449852134,0,0,283.560254190435,0,0,15
1,1,0,1,1,0,"wet",0,2701.35187468275,0,0,4176.34574853526,0,27
0,1,1,1,1,0,"wet",0,2701.35187468276,0,0,4176.34574853526,0,30
1,0,1,1,0,1,"dry",4922.35590061265,0,0,278.821257961259,0,3027.14141695288,45
1,0,1,0,1,1,"dry",0,0,0,0,5072.11153581888,0,53
1,0,0,1,1,1,"wet",2953.38916187329,0,0,0,8391.21142810233,0,57
0,0,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,60
1,0,1,1,1,1,"wet",2953.38916187329,0,0,0,8391.21142810233,0,61
0,1,1,1,1,1,"wet",0,2701.35187468276,0,0,4176.34574853526,0,62
1,1,1,1,1,1,"wet",0,2701.35187468275,0,0,4176.34574853526,0,63
