"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action"
0,0,0,0,0,0
1006.92492585737,217.59292453222,0,0,0,0
0,2748.17340068243,1365.69689205605,0,0,0
0,0,0,217.59292453222,0,0
0,1365.69689205605,0,2748.17340068243,0,0
0,0,217.59292453222,539.078885416454,0,0
1365.69689205605,0,0,0,22.5291869880837,0
1006.92492585737,217.59292453222,0,0,217.59292453222,0
0,0,1365.69689205605,0,2748.17340068243,0
0,539.078885416454,1006.92492585737,0,539.078885416454,0
2748.17340068243,1365.69689205605,22.5291869880837,0,1365.69689205605,0
0,0,217.59292453222,539.078885416454,1006.92492585737,0
1365.69689205605,22.5291869880837,2748.17340068243,1365.69689205605,22.5291869880837,0
0,0,0,0,0,539.078885416454
22.5291869880837,0,0,0,0,1365.69689205605
0,0,1006.92492585737,0,0,1006.92492585737
2748.17340068243,0,22.5291869880837,0,0,22.5291869880837
539.078885416454,1006.92492585737,217.59292453222,0,0,217.59292453222
0,0,0,1365.69689205605,0,2748.17340068243
1006.92492585737,0,0,1006.92492585737,0,539.078885416454
0,2748.17340068243,0,22.5291869880837,0,1365.69689205605
0,539.078885416454,1006.92492585737,217.59292453222,0,1006.92492585737
0,0,0,0,1365.69689205605,22.5291869880837
0,0,217.59292453222,0,1006.92492585737,217.59292453222
1365.69689205605,22.5291869880837,2748.17340068243,0,22.5291869880837,2748.17340068243
0,0,0,1006.92492585737,217.59292453222,539.078885416454
22.5291869880837,0,0,22.5291869880837,2748.17340068243,1365.69689205605
0,539.078885416454,0,217.59292453222,539.078885416454,1006.92492585737
0,0,22.5291869880837,2748.17340068243,1365.69689205605,22.5291869880837
539.078885416454,0,217.59292453222,539.078885416454,1006.92492585737,217.59292453222
1365.69689205605,0,0,0,0,0
1006.92492585737,0,0,1006.92492585737,0,0
