"ACWR.action.outcome","FEMI.action.outcome","HOMU.action.outcome","PLER.action.outcome","SACO.action.outcome","URLI.action.outcome"
0,2512.55029346402,0.50300000000044,0,0,0
0,0,0.502999999999949,473.530946886098,0,0
0,1145.32701684488,0.502999999999949,0,562.320503772207,0
0,0,0.502999999999949,0,3960.55350250894,0
0,1135.25944400731,0.502999999999965,0,183.073926469773,0
0,0,0.502999999999949,126.289740182169,948.146162235623,0
9012.96804284164,0,0.502999999999949,0,0,0
0,1145.32701684488,0.502999999999949,0,562.320503772209,0
0,0,0.502999999999949,0,3960.55350250891,0
0,488.205430968598,0.502999999999949,7.29617821283347,732.781562833176,12316.194770188
