"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
0,0,0,0,0,0
0,3196.74093463868,0,0,0,0
0,0,1515.41075217322,0,0,0
0,0,0,1515.41075217322,0,0
0,1515.41075217322,0,296.650551607284,0,0
0,3924.09880914095,0,0,0,0
0,0,0,1515.41075217322,0,0
0,0,0,0,4624.22864217707,0
0,0,0,0,4624.22864217707,0
0,2614.21835428354,0,0,3924.09880914095,0
3196.74093463868,0,0,0,9081.98730900326,0
0,2614.21835428354,0,0,3924.09880914095,0
0,0,0,0,9081.98730900326,0
0,0,0,296.650551607284,4624.22864217707,0
0,0,0,296.650551607284,4624.22864217707,0
0,0,0,0,0,3924.09880914095
9081.98730900326,0,0,0,0,0
9081.98730900326,0,0,0,0,296.650551607284
0,1515.41075217322,0,0,0,3196.74093463868
0,0,0,1515.41075217322,0,6580.75008269685
4624.22864217707,0,0,296.650551607284,0,3196.74093463868
3196.74093463868,0,0,0,9081.98730900326,0
0,0,0,0,4624.22864217707,0
0,2614.21835428354,0,0,3924.09880914095,0
0,0,0,0,4624.22864217707,0
0,2614.21835428354,0,0,3924.09880914095,0
0,0,0,0,9081.98730900326,296.650551607284
3196.74093463868,0,0,0,9081.98730900326,0
0,2614.21835428354,0,0,3924.09880914095,0
0,2614.21835428354,0,0,3924.09880914095,0
6580.75008269685,0,0,0,0,0
6580.75008269685,0,0,0,0,0
