"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
0,0,0,0,0,0
0,3742.9676508044,0,0,0,0
0,0,1502.20700313119,0,0,0
0,3742.9676508044,0,0,0,0
0,0,0,855.75979903007,0,0
0,3742.9676508044,0,0,0,0
0,3742.9676508044,0,0,0,0
0,0,0,855.75979903007,0,0
0,2309.58830101005,0,486.446193048757,0,0
0,0,0,0,5072.11153581888,0
0,0,0,0,5072.11153581888,0
0,2701.35187468276,0,0,4176.34574853526,0
0,2701.35187468275,0,0,4176.34574853526,0
2953.3891618733,0,0,0,8391.21142810233,0
0,0,0,387.177162777096,4877.09164380973,0
0,0,0,387.177162777096,4877.09164380973,0
0,2701.35187468276,0,0,4176.34574853526,0
0,0,0,387.177162777096,4877.09164380973,0
10074.5859884317,0,0,0,0,69.2863079044862
0,2441.95832048756,0,0,0,3600.73608868887
0,3742.9676508044,0,0,0,0
10074.5770975921,0,0,0,0,69.3071942792377
10074.6143443369,0,0,0,0,69.2196937193981
0,2058.02976968146,0,460.046093961935,0,3167.5274791838
0,0,0,0,5072.11153581888,0
0,2701.35187468276,0,0,4176.34574853526,0
0,0,0,0,8541.21672277401,177.448193675883
0,0,0,387.177162777096,4877.09164380973,0
5976.62903988232,0,0,0,0,0
5976.62903988232,0,0,0,0,0
5487.54449852134,0,0,283.560254190435,0,0
5487.54449852134,0,0,283.560254190435,0,0
