"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action"
0,3113.12450632422,0,0,0,0
0,0,0,919.974639976448,0,0
0,0,0,0,893.001820175561,0
0,0,0,0,0,393.644733681903
3113.12450632422,0,893.001820175561,3113.12450632422,0,893.001820175561
393.644733681903,241.785560972424,919.974639976448,0,241.785560972424,919.974639976448
893.001820175561,3113.12450632422,0,893.001820175561,3113.12450632422,0
919.974639976448,0,241.785560972424,919.974639976448,393.644733681903,241.785560972424
0,893.001820175561,3113.12450632422,0,893.001820175561,3113.12450632422
241.785560972424,0,0,0,0,0
