species,lambda,s,g
AGHE,765.9235022,0.560373533,0.082010351
AGRE,1946.152087,0.560373533,0.082010351
AMME,290.5756683,0.712408759,0.04733617
ANAR,932.0080389,0.151955967,0.002178679
CEME,10962.99033,0.291237113,0.035903319
CLPU,755.7182922,0.237192983,0.004488703
ERBO,271.4648572,0.396580399,0.002936372
ERCI,279.5609977,1,0.010949549
EUPE,1069.346037,0.193755546,0.029664417
GECA,50.74676386,0.133702861,0.045830568
HECO,1044.834032,1,0.015441612
LACA,3884.268315,0.257896914,0.004295674
LOPU,482.0917882,0.386098188,0.025306218
LOWR,1457.583011,0.262546296,0.085088925
MEPO,271.969431,0.547888162,0.02750633
NAAT,2817.495934,0.114256037,0.004602454
PLER,1367.183077,0.621501636,0.115329546
SACA,3303.355119,0.338956528,0.076633499
