"Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome"
0.13418,0,0,0,0,0,0,0
0.13199,0,0,0,0,0,0,0
0,0.07483,0,0,0,0,0,0
0,0.06647,0,0,0,0,0,0
0,0,0.07866,0,0,0,0,0
0,0,0.07488,0,0,0,0,0
0,0,0,0.00392,0,0,0,0
0,0,0,0.00260999999999999,0,0,0,0
0,0,0,0,0.05297,0,0,0
0,0,0,0,0.04094,0,0,0
0,0,0,0,0,0.14184,0,0
0,0,0,0,0,0.14085,0,0
0,0,0,0,0,0,0.10996,0
0,0,0,0,0,0,0.10438,0
0,0,0,0,0,0,0,0.14385
0,0,0,0,0,0,0,0.14588
0.055836,0.130284,0,0,0,0,0,0
0.0435788571429,0.0950811428571,0,0,0,0,0,0
0.0439822222222222,0,0.0920877777777778,0,0,0,0,0
0.0437924468085106,0,0.0889975531914894,0,0,0,0,0
0.103393333333333,0,0,0.0516966666666667,0,0,0,0
0.121701418439716,0,0,0.0481985815602837,0,0,0,0
0.0608336842105263,0,0,0,0.0595663157894737,0,0,0
0.0535505454545454,0,0,0,0.0691694545454545,0,0,0
0.00738848484848485,0,0,0,0,0.114521515151515,0,0
0.00236316666666667,0,0,0,0,0.139426833333333,0,0
0.00549066666666667,0,0,0,0,0,0.0974593333333333,0
0.00521788732394366,0,0,0,0,0,0.118272112676056,0
0.12793,0,0,0,0,0,0,0
0.120278796992481,0,0,0,0,0,0,0.000911203007518797
0,0,0.0772,0,0,0,0,0
0,0,0.08931,0,0,0,0,0
0,0.07833,0,0,0,0,0,0
0,0.06983,0,0,0,0,0,0
0,0.0331168627451,0,0,0.0318431372549,0,0,0
0,0.0295087719298,0,0,0.0377712280702,0,0,0
0,0.0468424358974,0,0,0,0.0791475641026,0,0
0,0.045038,0,0,0,0.083642,0,0
0,0.0793757017544,0,0,0,0,0.0739942982456,0
0,0.0968484269663,0,0,0,0,0.0721615730337,0
0,0.0482434188034,0,0,0,0,0,0.0427965811966
0,0.0661883146067,0,0,0,0,0,0.0618716853933
0,0,0.0745,0,0,0,0,0
0,0,0.07356,0,0,0,0,0
0,0,0.07479,0,0,0,0,0
0,0,0.07488,0,0,0,0,0
0,0,0.0776841428571429,0,0,0.0692858571428571,0,0
0,0,0.0962307692307692,0,0,0.0427692307692308,0,0
0,0,0.106064634146341,0,0,0,0.0580353658536585,0
0,0,0.100238571428571,0,0,0,0.0597914285714286,0
0,0,0.0774187826086956,0,0,0,0,0.0639012173913043
0,0,0.0825897752808989,0,0,0,0,0.0674202247191011
0,0,0,0.0500681481481481,0.00957185185185185,0,0,0
0,0,0,0.0534366101694915,0.00719338983050848,0,0,0
0,0,0,0.001752,0,0,0.103368,0
0,0,0,0,0,0,0.10751,0
0,0,0,0.0406055,0,0,0,0.0843345
0,0,0,0.0612820143884892,0,0,0,0.0806879856115108
0,0,0,0,0.0846043661971831,0.0619056338028169,0,0
0,0,0,0,0.05382375,0.08970625,0,0
0,0,0,0,0.0470960714285714,0,0.108043928571429,0
0,0,0,0,0.0532322641509434,0,0.0952577358490566,0
0,0,0,0,0.065953125,0,0,0.060676875
0,0,0,0,0.0616791919191919,0,0,0.0682408080808081
0,0,0,0,0,0.138743370786517,0.00157662921348315,0
0,0,0,0,0,0.14646,0,0
0,0,0,0,0,0.14273,0,0
0,0,0,0,0,0.145125925925926,0,0.00181407407407407
0,0,0,0,0,0,0.120050526315789,0.0225094736842105
0,0,0,0,0,0,0.0796911111111111,0.0576488888888889
0.046928372093,0,0.121231627907,0,0,0,0,0
0.0437899130435,0,0.113580086957,0,0,0,0,0
0.0448254263566,0.0825195348837,0,0.00407503875969,0,0,0,0
0.0434112,0.1100784,0,0.0015504,0,0,0,0
0.0686329292929,0,0,0,0.0790770707071,0,0,0
0.0389508791209,0.0321768131868,0,0,0.0829823076923,0,0,0
0.0069797029703,0.0418782178218,0,0,0,0.0921320792079,0,0
0.00112104347826,0.0347523478261,0,0,0,0.0930466086957,0,0
0.0300189147287,0.0658106976744,0,0,0,0,0.0531103875969,0
0.0324776271186,0.0649552542373,0,0,0,0,0.0394371186441,0
0.0302785714286,0.126721428571,0,0,0,0,0,0
0.0410728888889,0.119647111111,0,0,0,0,0,0
0.0454584269662921,0,0.0894015730337079,0,0,0,0,0
0.0530217721518987,0,0.0820982278481013,0,0,0,0,0
0.0517087654320988,0,0.0300244444444444,0,0.0533767901234568,0,0,0
0.0401753246753247,0,0.0337472727272727,0,0.0498174025974026,0,0,0
0.0598082352941176,0,0.0804317647058824,0,0,0,0,0
0.02817,0,0.0965828571428572,0,0,0.0160971428571429,0,0
0.00576216867469879,0,0.109481204819277,0,0,0,0.0441766265060241,0
0.00316172043010753,0,0.0901090322580645,0,0,0,0.053749247311828,0
0.0578008421052632,0,0.0947291578947368,0,0,0,0,0
0.0525013861386139,0,0.103458613861386,0,0,0,0,0
0.0537446341463415,0,0,0.0109682926829268,0.0701970731707317,0,0,0
0.049632,0,0,0.0235752,0.0508728,0,0,0
0.0127029411764706,0,0,0.00889205882352941,0,0.107975,0,0
0.0120368041237113,0,0,0.00401226804123711,0,0.113680927835052,0,0
0.102313524590164,0,0,0.0300922131147541,0,0,0.014444262295082,0
0.00763636363636364,0,0,0,0,0,0.109963636363636,0
0.07956,0,0,0.05148,0,0,0,0.01404
0.055291775147929,0,0,0.055291775147929,0,0,0,0.021026449704142
0.0402130864197531,0,0,0,0.0681874074074074,0.0332195061728395,0,0
0.04337,0,0,0,0.0374559090909091,0.0492840909090909,0,0
0.0394535849056604,0,0,0,0.065345,0,0.0258914150943396,0
0.0514702083333333,0,0,0,0.0528246875,0,0.0257351041666667,0
0.0567742222222222,0,0,0,0.0543057777777778,0,0,0
0.0610232926829268,0,0,0,0.0553467073170732,0,0,0
0.0189077142857143,0,0,0,0,0.120412285714286,0,0
0.00802872549019608,0,0,0,0,0.108961274509804,0,0
0.0152065040650407,0,0,0,0,0.101693495934959,0,0
0.0312792792792793,0,0,0,0,0.0916036036036036,0,0.00111711711711712
0,0,0,0,0,0,0.130072857142857,0.00156714285714286
0,0,0,0,0,0,0.0518871264367816,0.0808828735632184
0,0,0.08935,0,0,0,0,0
0,0,0.09375,0,0,0,0,0
0,0,0.0805238709677,0,0.0234861290323,0,0,0
0,0,0.07558,0,0,0,0,0
0,0,0.1181326,0,0,0.0755274,0,0
0,0,0.090192,0,0,0.078918,0,0
0,0,0.100282909091,0,0,0,0.0529270909091,0
0,0,0.100226190476,0,0,0,0.0681538095238,0
0,0,0.0703803571429,0,0,0,0,0.108769642857
0,0,0.0477914754098,0,0,0,0,0.0736785245902
0,0.063149047619,0,0,0.038860952381,0,0,0
