"Ea.action","Pa.action","Pch.action","Pci.action","Pf.action","Pp.action","Pv.action","Sm.action"
0.00794050370672687,0,0,0,0,0,0,0
0.00656149176490422,0,0,0,0,0,0,0
0,0.0408178477950584,0,0,0,0,0,0
0,0.00209264914404946,0,0,0,0,0,0
0,0,0.00942387841507954,0,0,0,0,0
0,0,0.0223028599972344,0,0,0,0,0
0,0,0,0.0243782782930257,0,0,0,0
0,0,0,0.012458428383924,0,0,0,0
0,0,0,0,0.00794050370672687,0,0,0
0,0,0,0,0.00656149176490422,0,0,0
0,0,0,0,0,0.0408178477950584,0,0
0,0,0,0,0,0.00209264914404946,0,0
0,0,0,0,0,0,0.00942387841507954,0
0,0,0,0,0,0,0.0223028599972344,0
0,0,0,0,0,0,0,0.0243782782930257
0,0,0,0,0,0,0,0.012458428383924
0.00794050370672687,0,0.00794050370672687,0,0,0,0,0
0.00656149176490422,0,0.00656149176490422,0,0,0,0,0
0,0.0408178477950584,0,0,0.0408178477950584,0,0,0
0,0.00209264914404946,0,0,0.00209264914404946,0,0,0
0,0.00942387841507954,0,0,0,0,0,0.00942387841507954
0,0.0223028599972344,0,0,0,0,0,0.0223028599972344
0,0,0.0243782782930257,0,0.0243782782930257,0,0,0
0,0,0.012458428383924,0,0.012458428383924,0,0,0
0,0,0,0.00794050370672687,0.00794050370672687,0,0,0
0,0,0,0.00656149176490422,0.00656149176490422,0,0,0
0,0,0,0,0.0408178477950584,0.0408178477950584,0,0
0,0,0,0,0.00209264914404946,0.00209264914404946,0,0
0,0,0,0,0,0,0.00942387841507954,0.00942387841507954
0,0,0,0,0,0,0.0223028599972344,0.0223028599972344
0.0243782782930257,0,0.0243782782930257,0,0,0,0,0.0243782782930257
0.012458428383924,0,0.012458428383924,0,0,0,0,0.012458428383924
0,0.00794050370672687,0.00794050370672687,0,0,0.00794050370672687,0,0
0,0.00656149176490422,0.00656149176490422,0,0,0.00656149176490422,0,0
0,0.0408178477950584,0,0,0,0.0408178477950584,0.0408178477950584,0
0,0.00209264914404946,0,0,0,0.00209264914404946,0.00209264914404946,0
0,0,0.00942387841507954,0.00942387841507954,0,0,0.00942387841507954,0
0,0,0.0223028599972344,0.0223028599972344,0,0,0.0223028599972344,0
0,0,0.0243782782930257,0.0243782782930257,0,0,0,0.0243782782930257
0,0,0.012458428383924,0.012458428383924,0,0,0,0.012458428383924
0,0,0.00794050370672687,0,0.00794050370672687,0.00794050370672687,0,0
0,0,0.00656149176490422,0,0.00656149176490422,0.00656149176490422,0,0
0,0,0,0.0408178477950584,0.0408178477950584,0,0,0.0408178477950584
0,0,0,0.00209264914404946,0.00209264914404946,0,0,0.00209264914404946
0,0,0,0,0.00942387841507954,0,0.00942387841507954,0.00942387841507954
0,0,0,0,0.0223028599972344,0,0.0223028599972344,0.0223028599972344
0,0,0,0,0,0.0243782782930257,0.0243782782930257,0.0243782782930257
0,0,0,0,0,0.012458428383924,0.012458428383924,0.012458428383924
0,0.00794050370672687,0.00794050370672687,0.00794050370672687,0.00794050370672687,0.00794050370672687,0.00794050370672687,0.00794050370672687
0,0.00656149176490422,0.00656149176490422,0.00656149176490422,0.00656149176490422,0.00656149176490422,0.00656149176490422,0.00656149176490422
0.0408178477950584,0,0.0408178477950584,0.0408178477950584,0.0408178477950584,0.0408178477950584,0.0408178477950584,0.0408178477950584
0.00209264914404946,0,0.00209264914404946,0.00209264914404946,0.00209264914404946,0.00209264914404946,0.00209264914404946,0.00209264914404946
0.00942387841507954,0.00942387841507954,0,0.00942387841507954,0.00942387841507954,0.00942387841507954,0.00942387841507954,0.00942387841507954
0.0223028599972344,0.0223028599972344,0,0.0223028599972344,0.0223028599972344,0.0223028599972344,0.0223028599972344,0.0223028599972344
0.0243782782930257,0.0243782782930257,0.0243782782930257,0,0.0243782782930257,0.0243782782930257,0.0243782782930257,0.0243782782930257
0.012458428383924,0.012458428383924,0.012458428383924,0,0.012458428383924,0.012458428383924,0.012458428383924,0.012458428383924
0.00794050370672687,0.00794050370672687,0.00794050370672687,0.00794050370672687,0,0.00794050370672687,0.00794050370672687,0.00794050370672687
0.00656149176490422,0.00656149176490422,0.00656149176490422,0.00656149176490422,0,0.00656149176490422,0.00656149176490422,0.00656149176490422
0.0408178477950584,0.0408178477950584,0.0408178477950584,0.0408178477950584,0.0408178477950584,0,0.0408178477950584,0.0408178477950584
0.00209264914404946,0.00209264914404946,0.00209264914404946,0.00209264914404946,0.00209264914404946,0,0.00209264914404946,0.00209264914404946
0.00942387841507954,0.00942387841507954,0.00942387841507954,0.00942387841507954,0.00942387841507954,0.00942387841507954,0,0.00942387841507954
0.0223028599972344,0.0223028599972344,0.0223028599972344,0.0223028599972344,0.0223028599972344,0.0223028599972344,0,0.0223028599972344
0.0243782782930257,0.0243782782930257,0.0243782782930257,0.0243782782930257,0.0243782782930257,0.0243782782930257,0.0243782782930257,0
0.012458428383924,0.012458428383924,0.012458428383924,0.012458428383924,0.012458428383924,0.012458428383924,0.012458428383924,0
