"V1","V2","V3","V4","V5","V6","V7","V8"
0.126424368807138,0,0,0,0,0,0,0
0.126424368807138,0,0,0,0,0,0,0
0,0.0945951710660118,0,0,0,0,0,0
0,0.0945951710660118,0,0,0,0,0,0
0,0,0.0961204450923053,0,0,0,0,0
0,0,0.0961204450923053,0,0,0,0,0
0,0,0,0.0706924122010157,0,0,0,0
0,0,0,0.0706924122010157,0,0,0,0
0,0,0,0,0.0725483976068997,0,0,0
0,0,0,0,0.0725483976068997,0,0,0
0,0,0,0,0,0.138012312167488,0,0
0,0,0,0,0,0.138012312167488,0,0
0,0,0,0,0,0,0.126067325127465,0
0,0,0,0,0,0,0.126067325127465,0
0,0,0,0,0,0,0,0.136015028883257
0,0,0,0,0,0,0,0.136015028883257
0.0467216705884686,0.103689570885244,0,0,0,0,0,0
0.0467216705884686,0.103689570885244,0,0,0,0,0,0
0.0527688824151896,0,0.0974850469699557,0,0,0,0,0
0.0527688824151896,0,0.0974850469699557,0,0,0,0,0
0.0960372925436841,0,0,0.0491201926491753,0,0,0,0
0.0960372925436841,0,0,0.0491201926491753,0,0,0,0
0.062022740658193,0,0,0,0.0705172511511909,0,0,0
0.062022740658193,0,0,0,0.0705172511511909,0,0,0
0.0358251669370185,0,0,0,0,0.0918093963217452,0,0
0.0358251669370185,0,0,0,0,0.0918093963217452,0,0
0,0,0,0,0,0,0.151353983406989,0
0,0,0,0,0,0,0.151353983406989,0
0.0734191279008065,0,0,0,0,0,0,0.0528960448125564
0.0734191279008065,0,0,0,0,0,0,0.0528960448125564
0,0.0126762348455254,0.0961204450922901,0,0,0,0,0
0,0.0126762348455254,0.0961204450922901,0,0,0,0,0
0,0.264774364674069,0,0,0,0,0,0
0,0.264774364674069,0,0,0,0,0,0
0,0.0540811464909021,0,0,0.0321262441078813,0,0,0
0,0.0540811464909021,0,0,0.0321262441078813,0,0,0
0,0.0544504344265061,0,0,0,0.083414166386612,0,0
0,0.0544504344265061,0,0,0,0.083414166386612,0,0
0,0.0805059915590439,0,0,0,0,0.0811228618868141,0
