"rep","method","richness_mae","feasible_and_stable_balanced_accuracy","composition_balanced_accuracy_mean","abundance_mae_mean","sampling_strategy","num_train","num_species_dataset","num_replicates_dataset","num_cases_dataset","num_losses_mean_train","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean_train","abundance_final_skewness_nonzero_mean_train"
1,"naive",0.361073825503356,NA,0.936657032755299,92610.3966711409,"high-1",10,5,48,1500,0.6,471000,1.97834460173454,0.949070556251903,1.07421449588499,0.69042590753666
2,"naive",0.360402684563758,NA,0.9373795761079,92586.5947919463,"high-1",10,5,48,1500,0.7,471000,1.97834460173454,0.949070556251903,0.851664169934997,0.538348544118484
3,"naive",0.358389261744966,NA,0.937921483622351,92669.1240805369,"high-1",10,5,48,1500,1,471000,1.97834460173454,0.949070556251903,1.00250503920505,0.580799760314779
4,"naive",0.359731543624161,NA,0.9373795761079,92763.5300939597,"high-1",10,5,48,1500,0.8,471000,1.97834460173454,0.949070556251903,1.61710818247993,1.20473985594015
5,"naive",0.359731543624161,NA,0.936927986512524,92538.1103624161,"high-1",10,5,48,1500,0.8,471000,1.97834460173454,0.949070556251903,1.21845333264378,0.88803967598292
1,"e2e + reshuffle",1.46086881857889,NA,0.605024067388688,116074.146721477,"high-1",10,5,48,1500,0.9,471000,1.97834460173454,0.949070556251903,1.58307053887116,1.09688853880203
2,"e2e + reshuffle",1.43906748854799,NA,0.596248795761079,123351.48486745,"high-1",10,5,48,1500,0.8,471000,1.97834460173454,0.949070556251903,1.41686262523569,1.09956396607512
3,"e2e + reshuffle",1.17025017737296,NA,0.562409682080925,103223.882785235,"high-1",10,5,48,1500,1,471000,1.97834460173454,0.949070556251903,1.61102367801197,1.22403322845186
4,"e2e + reshuffle",1.24076714338979,NA,0.577372350674374,196841.685518456,"high-1",10,5,48,1500,0.6,471000,1.97834460173454,0.949070556251903,1.69852470311869,1.18293486491735
5,"e2e + reshuffle",1.54256374986684,NA,0.470998796630566,146801.929687919,"high-1",10,5,48,1500,0.5,471000,1.97834460173454,0.949070556251903,1.24411453807656,0.910471612255882
1,"e2e",1.74326758495792,NA,0.695306859205776,142145.583622483,"high-1",10,5,48,1500,0.4,471000,1.97834460173454,0.949070556251903,0.676700283834885,0.474975466390463
2,"e2e",1.57185836475977,NA,0.684265944645006,96693.5941006711,"high-1",10,5,48,1500,0.3,471000,1.97834460173454,0.949070556251903,1.13970702993393,0.976829254613775
3,"e2e",1.50513148290189,NA,0.699391859344894,107000.558677852,"high-1",10,5,48,1500,0.3,471000,1.97834460173454,0.949070556251903,1.19288977724567,0.940553103900157
