"rep","method","richness_mae","feasible_and_stable_balanced_accuracy","composition_balanced_accuracy_mean","abundance_mae_mean","sampling_strategy","num_train","num_species_dataset","num_replicates_dataset","num_cases_dataset","num_losses_mean_train","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean_train","abundance_final_skewness_nonzero_mean_train"
1,"naive",1.52711050102951,NA,0.869215464727844,28.468847708381,"high-1",10,9,3,1467,4.2,191,2.36520779911582,0.747766069149664,1.52769845724767,0.296130093527649
2,"naive",1.52848318462594,NA,0.869192539464204,28.4796766567528,"high-1",10,9,3,1467,4,191,2.36520779911582,0.747766069149664,1.75501589438859,0.616388351447451
3,"naive",1.5264241592313,NA,0.86916060784699,28.4805155189507,"high-1",10,9,3,1467,4.3,191,2.36520779911582,0.747766069149664,1.88459803728046,0.615737720296052
4,"naive",1.52916952642416,NA,0.869224471081417,28.4747960039655,"high-1",10,9,3,1467,3.9,191,2.36520779911582,0.747766069149664,1.74570923047389,0.671898334431151
5,"naive",1.52985586822237,NA,0.869167157922316,28.4667124227865,"high-1",10,9,3,1467,3.8,191,2.36520779911582,0.747766069149664,1.71051601420144,0.670658080850455
1,"e2e + reshuffle",1.58994989432515,NA,0.691620406759678,31.8741516052772,"high-1",10,9,3,1467,3.5,191,2.36520779911582,0.747766069149664,1.84572241193278,0.84016191828453
2,"e2e + reshuffle",1.16751870880587,NA,0.648126269077094,30.787486654465,"high-1",10,9,3,1467,4.1,191,2.36520779911582,0.747766069149664,1.74784384688987,0.567588186184367
3,"e2e + reshuffle",1.03142638330555,NA,0.664440869194996,30.9544917257683,"high-1",10,9,3,1467,4.2,191,2.36520779911582,0.747766069149664,1.65028762630218,0.380179824896745
4,"e2e + reshuffle",1.53956933958667,NA,0.676094681338835,30.404226721574,"high-1",10,9,3,1467,3.8,191,2.36520779911582,0.747766069149664,1.59278110218542,0.544303389822732
5,"e2e + reshuffle",1.32108553616368,NA,0.652920105456213,34.4475901776863,"high-1",10,9,3,1467,3.9,191,2.36520779911582,0.747766069149664,1.68091293225646,0.569272970907486
1,"e2e",1.17765320129425,NA,0.689930077945896,31.2829825364142,"high-1",10,9,3,1467,3.8,191,2.36520779911582,0.747766069149664,1.70122734096602,0.606617769573754
2,"e2e",1.60634232059788,NA,0.713805102508679,30.2472308014947,"high-1",10,9,3,1467,3.7,191,2.36520779911582,0.747766069149664,1.75840444905484,0.728998926552543
3,"e2e",1.19190492423004,NA,0.721550975961224,24.6329501258293,"high-1",10,9,3,1467,3.7,191,2.36520779911582,0.747766069149664,1.63967058468578,0.538419415120057
4,"e2e",1.51477260243379,NA,0.698579452413703,29.8102169602684,"high-1",10,9,3,1467,3.8,191,2.36520779911582,0.747766069149664,1.69787736000209,0.595201607236702
5,"e2e",1.5266626466647,NA,0.72498853736818,27.880180927324,"high-1",10,9,3,1467,3.8,191,2.36520779911582,0.747766069149664,1.62433416892252,0.552358428725575
1,"naive",1.52916952642416,NA,0.868680814829371,28.5024784564936,"high-2",10,9,3,1467,3.9,191,2.36520779911582,0.747766069149664,1.96859247067702,0.507548197764266
