"rep","method","richness_mae_test","feasible_and_stable_balanced_accuracy_test","composition_balanced_accuracy_mean_test","abundance_mae_mean_test","richness_mae_train","feasible_and_stable_balanced_accuracy_train","composition_balanced_accuracy_mean_train","abundance_mae_mean_train","experimental_design","num_train","num_species_dataset","num_replicates_dataset","num_cases_dataset","num_losses_mean_train","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean_train","abundance_final_skewness_nonzero_mean_train"
1,"naive",7.39321961423822,NA,0.829283968209492,1583.58580517247,15,NA,0.548737373737374,2272.97531661996,"high-1",10,18,1,238551,9.3,4320.91402921242,4.78167344185822,1.91212845872009,3.90530409874974,2.20137196690058
5,"naive",7.39321542208677,NA,0.82928415876263,1586.83009854863,15.1,NA,0.544191919191919,2400.71835284197,"high-1",10,18,1,238551,9.3,4320.91402921242,4.78167344185822,1.91212845872009,3.90530239891666,2.22374452733592
1,"love",0.423948084396393,NA,0.802470942309384,1148.75827749863,0,NA,0.974242424242424,620.021695027692,"high-1",10,18,1,238551,9.2,4320.91402921242,4.78167344185822,1.91212845872009,3.90529448464074,2.24591402590168
5,"love",0.393926930587221,NA,0.802558412341936,1239.84760476912,0.265866587301588,NA,0.990909090909091,560.374459923907,"high-1",10,18,1,238551,9.4,4320.91402921242,4.78167344185822,1.91212845872009,3.84810699510949,2.13680343896413
1,"love + reshuffle",0.47929579059751,NA,0.788526029346945,1833.30239708951,0.372190238095238,NA,0.850719696969697,1586.71274318956,"high-2",10,18,1,238551,8.8,4320.91402921242,4.78167344185822,1.91212845872009,3.93370371071054,2.13082101135125
5,"love + reshuffle",0.512189718672036,NA,0.75788503644163,1360.29858207547,0.368791587301588,NA,0.865665584415584,422.610016273883,"high-2",10,18,1,238551,9.3,4320.91402921242,4.78167344185822,1.91212845872009,3.84813173606494,1.92461369756112
1,"naive",7.39381070759324,NA,0.829265913611061,1168.20229908001,0.9,NA,0.979411764705882,254.013003992337,"low-2",10,18,1,238551,0.7,4320.91402921242,4.78167344185822,1.91212845872009,6.92715363977965,1.09813407759389
5,"naive",7.3938148997447,NA,0.829265667012883,1218.56121108893,0.8,NA,0.985294117647059,384.883549525477,"low-2",10,18,1,238551,0.5,4320.91402921242,4.78167344185822,1.91212845872009,7.28649111164471,1.35481535714541
1,"love",0.6544451477943,NA,0.490846130185874,1080.20894582061,0,NA,1,62.0016705499932,"low-2",10,18,1,238551,0.5,4320.91402921242,4.78167344185822,1.91212845872009,9.23596731327009,1.97700742407684
5,"love",0.6544451477943,NA,0.527954022180684,1064.20146464985,0,NA,1,96.6321994974674,"low-2",10,18,1,238551,0.7,4320.91402921242,4.78167344185822,1.91212845872009,6.61515265504769,1.07160683208536
1,"love + reshuffle",0.552633834554946,NA,0.514396898392103,1085.65123003349,0.485401428571428,NA,0.556985294117647,732.384277455105,"low-3",10,18,1,238551,1,4320.91402921242,4.78167344185822,1.91212845872009,7.16799394896182,1.70605561585228
5,"love + reshuffle",0.547195698892533,NA,0.510089819666301,1066.79816675315,0.401355793650794,NA,0.528995098039216,752.738800473564,"low-3",10,18,1,238551,0.9,4320.91402921242,4.78167344185822,1.91212845872009,6.59200037704596,1.26886090058726
1,"naive",7.39353402559728,NA,0.829272776400174,1518.79410347291,7.5,NA,0.815706793206793,1570.44552341588,"mixed",10,18,1,238551,5.1,4320.91402921242,4.78167344185822,1.91212845872009,4.90035811102392,1.79837567935653
5,"naive",7.39353402559728,NA,0.829272237956686,1466.35036023486,7.5,NA,0.828550824175824,1158.93309614988,"mixed",10,18,1,238551,4.8,4320.91402921242,4.78167344185822,1.91212845872009,4.64947763714562,1.56661848001798
1,"love",0.443575663442902,NA,0.792934415757526,987.518894341147,0.235176666666666,NA,1,468.945503928092,"mixed",10,18,1,238551,4.5,4320.91402921242,4.78167344185822,1.91212845872009,4.53820283731759,1.90328697249663
5,"love",0.444415553440848,NA,0.800885320359954,813.216497562036,0.224546666666667,NA,1,342.255977862672,"mixed",10,18,1,238551,5.5,4320.91402921242,4.78167344185822,1.91212845872009,4.5761390258299,1.60356233014102
1,"love + reshuffle",0.510506189013315,NA,0.80167190094947,1368.28095800032,0.295885804671519,NA,0.943471706864564,559.391594322883,"high-1",14,18,1,238551,9.57142857142857,4320.91402921242,4.78167344185822,1.91212845872009,3.85732489724348,2.12642059023901
5,"love + reshuffle",0.50353589377537,NA,0.801616484852765,1289.38723880338,0.308927744874173,NA,0.93729514533086,805.095246807044,"high-1",14,18,1,238551,9.35714285714286,4320.91402921242,4.78167344185822,1.91212845872009,3.90190713371109,2.20751091459066
1,"naive",7.39312559477146,NA,0.829286930151556,1584.82086173784,14.4285714285714,NA,0.578427128427128,2307.49871584588,"high-2",14,18,1,238551,8.78571428571429,4320.91402921242,4.78167344185822,1.91212845872009,3.92922399183845,2.19563412898949
5,"naive",7.39313817143672,NA,0.829286330957754,1576.98731377939,14.2142857142857,NA,0.588636363636364,2353.42240158624,"high-2",14,18,1,238551,8.64285714285714,4320.91402921242,4.78167344185822,1.91212845872009,3.92922191244692,2.17932194674605
1,"love",0.391792105527009,NA,0.815641015635689,1532.17972361848,0.0466134647098932,NA,1,734.449129087324,"high-2",14,18,1,238551,8.92857142857143,4320.91402921242,4.78167344185822,1.91212845872009,3.90190615958097,2.12623103527849
5,"love",0.364205851258261,NA,0.809849372633237,1358.94896748351,0.147257427493142,NA,1,556.422785997645,"high-2",14,18,1,238551,8.71428571428571,4320.91402921242,4.78167344185822,1.91212845872009,3.85733472011102,2.09374955321682
1,"love + reshuffle",0.577949124691902,NA,0.500334873663733,1090.20674714686,0.216964201671345,NA,0.507878151260504,979.963125546615,"low-2",14,18,1,238551,0.5,4320.91402921242,4.78167344185822,1.91212845872009,6.40063747843551,0.833671372608077
5,"love + reshuffle",0.613869564523945,NA,0.506538904042587,1059.77195769706,0.366868429982715,NA,0.595194327731092,624.207321238792,"low-2",14,18,1,238551,0.428571428571429,4320.91402921242,4.78167344185822,1.91212845872009,5.51641216321248,0.54481592343366
1,"naive",7.39388438690853,NA,0.829264075519321,1264.92175821275,1.5,NA,0.967830882352941,519.909396076451,"low-3",14,18,1,238551,1.07142857142857,4320.91402921242,4.78167344185822,1.91212845872009,6.76189046292265,1.40048311460637
5,"naive",7.39387600246503,NA,0.829264468541758,1311.91952759227,1.64285714285714,NA,0.961134453781513,657.318805941402,"low-3",14,18,1,238551,1.28571428571429,4320.91402921242,4.78167344185822,1.91212845872009,6.16300602565788,1.02994256844985
1,"love",0.455243291723203,NA,0.562349676553822,1034.51273604932,0.182198299319728,NA,1,150.593752098587,"low-3",14,18,1,238551,1.28571428571429,4320.91402921242,4.78167344185822,1.91212845872009,6.70069787677853,1.24210263402198
5,"love",0.559916260780657,NA,0.5168332387301,1097.18666691743,0.163618918779633,NA,1,46.3137810709177,"low-3",14,18,1,238551,1.28571428571429,4320.91402921242,4.78167344185822,1.91212845872009,6.0541942591559,0.842642407991553
1,"love + reshuffle",0.548620080322969,NA,0.58188626521282,1217.19308114303,0.604628571428571,NA,0.571467817896389,1732.09801603921,"mixed",14,18,1,238551,4.14285714285714,4320.91402921242,4.78167344185822,1.91212845872009,5.01050635338112,1.86676473419377
5,"love + reshuffle",0.524477804421676,NA,0.649516050188419,1264.36198278381,0.439352380952381,NA,0.734139521193093,1523.20918916251,"mixed",14,18,1,238551,4.78571428571429,4320.91402921242,4.78167344185822,1.91212845872009,4.58290395474146,1.71495895693212
1,"love + reshuffle",0.498091368534238,NA,0.796021358759098,1694.9705595134,0.285125894872323,NA,0.902319109461967,994.075144378773,"high-2",21,18,1,238551,8.95238095238095,4320.91402921242,4.78167344185822,1.91212845872009,3.89693870015848,2.09966341476214
5,"love + reshuffle",0.462298619690847,NA,0.801577937274999,1580.20063679691,0.160045231744601,NA,0.935160276231705,946.717474035805,"high-2",21,18,1,238551,8.61904761904762,4320.91402921242,4.78167344185822,1.91212845872009,3.89692822758182,2.1437455548288
1,"naive",7.39412652496541,NA,0.829258533259442,1241.55111326591,0.714285714285714,NA,0.984593837535014,457.355514958562,"low-2",21,18,1,238551,0.523809523809524,4320.91402921242,4.78167344185822,1.91212845872009,8.39924745123547,1.80613740924643
5,"naive",7.39412233262064,NA,0.829257916735566,1252.13270205603,0.761904761904762,NA,0.991596638655462,487.91944628962,"low-2",21,18,1,238551,0.285714285714286,4320.91402921242,4.78167344185822,1.91212845872009,6.6681505954266,1.27474666104804
1,"love",0.564316832525222,NA,0.505409215638009,1060.4036979772,0.0778219436517093,NA,1,68.7387657472262,"low-2",21,18,1,238551,0.80952380952381,4320.91402921242,4.78167344185822,1.91212845872009,7.08926049026264,1.17724182134618
5,"love",0.520820366648397,NA,0.542741791576816,1016.35843624703,0.332033396809425,NA,1,72.2273794875762,"low-2",21,18,1,238551,0.476190476190476,4320.91402921242,4.78167344185822,1.91212845872009,6.9224229640764,1.12063597221373
1,"love + reshuffle",0.584019121277333,NA,0.502415923715424,1080.46291047073,0.289160307152346,NA,0.518376517273576,829.343095025385,"low-3",21,18,1,238551,0.857142857142857,4320.91402921242,4.78167344185822,1.91212845872009,8.32225576593694,2.14911468580956
5,"love + reshuffle",0.571618071005072,NA,0.508953048349782,1085.9877431727,0.456298831855974,NA,0.550134220354809,1034.12961444353,"low-3",21,18,1,238551,1.14285714285714,4320.91402921242,4.78167344185822,1.91212845872009,7.14926138399772,1.69456319599132
1,"naive",7.39351444262776,NA,0.829273226278311,1494.80737058328,7.66666666666667,NA,0.817702832881404,1398.43722593397,"mixed",21,18,1,238551,4.95238095238095,4320.91402921242,4.78167344185822,1.91212845872009,4.64494308330804,1.69950028007956
5,"naive",7.3935647507651,NA,0.829270714682607,1593.62125074458,7.09523809523809,NA,0.846230852480853,1695.37785729565,"mixed",21,18,1,238551,4.09523809523809,4320.91402921242,4.78167344185822,1.91212845872009,4.35373883235184,1.66138246997188
1,"love",0.450316201811553,NA,0.839228177929663,637.276032545533,0.301411406582835,NA,1,234.025672261611,"mixed",21,18,1,238551,4.23809523809524,4320.91402921242,4.78167344185822,1.91212845872009,5.54803897503377,2.17861695028801
5,"love",0.391416063887342,NA,0.893878144501749,516.269141091312,0.198861224489796,NA,1,436.954184205713,"mixed",21,18,1,238551,4.47619047619048,4320.91402921242,4.78167344185822,1.91212845872009,4.513931809827,1.74333381681268
1,"naive",7.39269079032873,NA,0.82930170732533,1581.2577479282,14.1333333333333,NA,0.59473063973064,2298.34415930378,"high-2",30,18,1,238551,8.46666666666667,4320.91402921242,4.78167344185822,1.91212845872009,3.93965436120159,2.20969838034371
5,"naive",7.39267821281983,NA,0.82930245477975,1574.98445342315,14.2333333333333,NA,0.588787878787879,2248.37166243645,"high-2",30,18,1,238551,8.83333333333333,4320.91402921242,4.78167344185822,1.91212845872009,3.91196565783846,2.12018155493131
1,"love",0.352063908855559,NA,0.82918542390819,1371.44996773743,0.0554344662816256,NA,1,730.663648745863,"high-2",30,18,1,238551,8.53333333333333,4320.91402921242,4.78167344185822,1.91212845872009,3.93894792094023,2.21674054846059
