"rep","method","richness_mae","feasible_and_stable_balanced_accuracy","composition_balanced_accuracy_mean","abundance_mae_mean","sampling_strategy","num_train","num_species_dataset","num_replicates_dataset","num_cases_dataset","num_losses_mean_train","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean_train","abundance_final_skewness_nonzero_mean_train"
1,"naive",2.05538461538462,0.5,0.862531081598878,1.45686803093954,"high-2",10,11,1,1960,2.9,8.0813848643651,7.70014785314229,4.66747205421418,5.18676936745422,4.1724335415087
2,"naive",2.05282051282051,0.5,0.862568990958821,1.45626502221178,"high-2",10,11,1,1960,3.4,8.0813848643651,7.70014785314229,4.66747205421418,3.28578029741669,2.37260223662379
3,"naive",2.04974358974359,0.5,0.862888163311892,1.44985732659499,"high-2",10,11,1,1960,4,8.0813848643651,7.70014785314229,4.66747205421418,3.43785955705374,2.40819306404158
4,"naive",2.05282051282051,0.5,0.862628912205183,1.45043055741127,"high-2",10,11,1,1960,3.4,8.0813848643651,7.70014785314229,4.66747205421418,3.69101080055414,2.67840774811717
5,"naive",2.05333333333333,0.5,0.862595282934266,1.45123935240043,"high-2",10,11,1,1960,3.3,8.0813848643651,7.70014785314229,4.66747205421418,3.8525754021886,2.81880210341798
1,"e2e + reshuffle",2.98500091412291,0.5,0.520871956041448,2.99963298460943,"high-2",10,11,1,1960,3.3,8.0813848643651,7.70014785314229,4.66747205421418,4.69917146361778,3.63377565461046
2,"e2e + reshuffle",2.75305494383394,0.5,0.545602921874108,3.49892965480608,"high-2",10,11,1,1960,3.7,8.0813848643651,7.70014785314229,4.66747205421418,4.03539777809749,3.00737177788152
3,"e2e + reshuffle",2.6787968998779,0.5,0.58879472693032,4.09697576550559,"high-2",10,11,1,1960,3.1,8.0813848643651,7.70014785314229,4.66747205421418,4.52984184628314,3.424798048254
4,"e2e + reshuffle",2.50282839438339,0.5,0.593214122663275,3.12630118008541,"high-2",10,11,1,1960,2.9,8.0813848643651,7.70014785314229,4.66747205421418,3.00506743391235,2.22205773548179
5,"e2e + reshuffle",2.24988496133496,0.5,0.580475456746643,3.11712494878692,"high-2",10,11,1,1960,3.2,8.0813848643651,7.70014785314229,4.66747205421418,4.55069143872436,3.47773337351772
1,"e2e",3.12960591127391,0.5,0.65941853971515,2.47691763324795,"high-2",10,11,1,1960,2.6,8.0813848643651,7.70014785314229,4.66747205421418,2.55435606169567,2.01278220837356
2,"e2e",2.10550541839642,0.5,0.660869082267387,2.16840522929381,"high-2",10,11,1,1960,3.2,8.0813848643651,7.70014785314229,4.66747205421418,3.59771146257483,2.67967358521839
3,"e2e",2.80608233129833,0.5,0.651603199060826,3.68881475583152,"high-2",10,11,1,1960,2.9,8.0813848643651,7.70014785314229,4.66747205421418,5.24579648950628,4.19260804471325
