"rep","method","frac","richness.r2","feasible.and.stable.balanced_accuracy","composition.balanced_accuracy","abundance.r2","sampling_strategy","num_train","num_species","num_replicates_in_data","num_cases"
1,"naive",1e-06,0.931279865068633,NA,0.916902738432483,0.131540083883914,"high-2",1,18,1,154
2,"naive",1e-06,0.93162443422072,NA,0.917296786389414,NA,"high-2",1,18,1,154
3,"naive",1e-06,0.930918699841632,NA,0.91709966934341,NA,"high-2",1,18,1,154
4,"naive",1e-06,0.933380544523742,NA,0.917494089834515,NA,"high-2",1,18,1,154
5,"naive",1e-06,0.93162443422072,NA,0.917296786389414,NA,"high-2",1,18,1,154
1,"e2e + reshuffle",1e-06,0.508384490412,NA,0.675744830107473,0.0883114240084589,"high-2",1,18,1,154
2,"e2e + reshuffle",1e-06,0.508384490412,NA,0.648174788973763,NA,"high-2",1,18,1,154
3,"e2e + reshuffle",1e-06,0.508384490412,NA,0.675744830107473,NA,"high-2",1,18,1,154
4,"e2e + reshuffle",1e-06,0.5053995248629,NA,0.673098508739109,NA,"high-2",1,18,1,154
5,"e2e + reshuffle",1e-06,0.508384490412,NA,0.6349003247242,NA,"high-2",1,18,1,154
1,"e2e",1e-06,0.505395508713701,NA,0.644475920679887,0.107414579322285,"high-2",1,18,1,154
2,"e2e",1e-06,0.498014280303682,NA,0.614239323026234,NA,"high-2",1,18,1,154
3,"e2e",1e-06,0.498014280303682,NA,0.613219329070642,NA,"high-2",1,18,1,154
4,"e2e",1e-06,0.498014280303682,NA,0.657079069161072,NA,"high-2",1,18,1,154
5,"e2e",1e-06,0.508384490412,NA,0.656343690050418,NA,"high-2",1,18,1,154
1,"naive",2.06913808111479e-06,0.933380544523742,NA,0.917494089834515,0.132378013092828,"high-2",1,18,1,154
2,"naive",2.06913808111479e-06,0.930918699841632,NA,0.91709966934341,NA,"high-2",1,18,1,154
3,"naive",2.06913808111479e-06,0.93162443422072,NA,0.917296786389414,NA,"high-2",1,18,1,154
4,"naive",2.06913808111479e-06,0.93162443422072,NA,0.917296786389414,NA,"high-2",1,18,1,154
5,"naive",2.06913808111479e-06,0.930918699841632,NA,0.91709966934341,NA,"high-2",1,18,1,154
1,"e2e + reshuffle",2.06913808111479e-06,0.508384490412,NA,0.659407027954163,0.013818407112495,"high-2",1,18,1,154
2,"e2e + reshuffle",2.06913808111479e-06,0.508384490412,NA,0.666554816396236,NA,"high-2",1,18,1,154
3,"e2e + reshuffle",2.06913808111479e-06,0.498014280303682,NA,0.659119057072254,NA,"high-2",1,18,1,154
4,"e2e + reshuffle",2.06913808111479e-06,0.49200618471202,NA,0.636529817201079,NA,"high-2",1,18,1,154
5,"e2e + reshuffle",2.06913808111479e-06,0.508384490412,NA,0.650217014242927,NA,"high-2",1,18,1,154
1,"e2e",2.06913808111479e-06,0.508384490412,NA,0.648174788973763,0.0916564964936645,"high-2",1,18,1,154
2,"e2e",2.06913808111479e-06,0.498014280303682,NA,0.614239323026234,NA,"high-2",1,18,1,154
3,"e2e",2.06913808111479e-06,0.49200618471202,NA,0.636529817201079,NA,"high-2",1,18,1,154
4,"e2e",2.06913808111479e-06,0.508384490412,NA,0.656343690050418,NA,"high-2",1,18,1,154
5,"e2e",2.06913808111479e-06,0.5053995248629,NA,0.63936474424074,NA,"high-2",1,18,1,154
1,"naive",4.2813323987194e-06,0.930918699841632,NA,0.91709966934341,0.131890625215575,"high-2",1,18,1,154
2,"naive",4.2813323987194e-06,0.930918699841632,NA,0.91709966934341,NA,"high-2",1,18,1,154
3,"naive",4.2813323987194e-06,0.930918699841632,NA,0.91709966934341,NA,"high-2",1,18,1,154
4,"naive",4.2813323987194e-06,0.93162443422072,NA,0.917296786389414,NA,"high-2",1,18,1,154
5,"naive",4.2813323987194e-06,0.930918699841632,NA,0.91709966934341,NA,"high-2",1,18,1,154
1,"e2e + reshuffle",4.2813323987194e-06,0.508384490412,NA,0.623668085743799,0.0927059164953937,"high-2",1,18,1,154
2,"e2e + reshuffle",4.2813323987194e-06,0.498014280303682,NA,0.659119057072254,NA,"high-2",1,18,1,154
3,"e2e + reshuffle",4.2813323987194e-06,0.5053995248629,NA,0.625053450211128,NA,"high-2",1,18,1,154
4,"e2e + reshuffle",4.2813323987194e-06,0.5053995248629,NA,0.646520391255546,NA,"high-2",1,18,1,154
5,"e2e + reshuffle",4.2813323987194e-06,0.5053995248629,NA,0.625053450211128,NA,"high-2",1,18,1,154
1,"e2e",4.2813323987194e-06,0.498014280303682,NA,0.659119057072254,0.0986494886376125,"high-2",1,18,1,154
2,"e2e",4.2813323987194e-06,0.5053995248629,NA,0.63936474424074,NA,"high-2",1,18,1,154
3,"e2e",4.2813323987194e-06,0.498014280303682,NA,0.664219026850211,NA,"high-2",1,18,1,154
