"rep","method","richness_mae","feasible_and_stable_balanced_accuracy","composition_balanced_accuracy_mean","abundance_mae_mean","sampling_strategy","num_train","num_species_dataset","num_replicates_dataset","num_cases_dataset","num_losses_mean_train","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean_train","abundance_final_skewness_nonzero_mean_train"
1,"e2e + reshuffle",2.49446632476879,0.5,0.615494866665211,0.435954448765426,"high-2",10,16,1,15326,5.5,1.59202346135834,1.43649625155806,0.212344596041372,0.871183091040757,0.382564618190427
3,"e2e + reshuffle",3.05055355500214,0.5,0.609131614083952,0.428031059982317,"high-2",10,16,1,15326,5.1,1.59202346135834,1.43649625155806,0.212344596041372,0.931647281556978,0.362380745305029
5,"e2e + reshuffle",2.60070213465947,0.5,0.621305015861362,0.448864909878997,"high-2",10,16,1,15326,5.3,1.59202346135834,1.43649625155806,0.212344596041372,0.944601644395175,0.334625952788536
2,"e2e + reshuffle",3.15918386659661,0.5,0.611105977102321,0.427675794196304,"high-3",10,16,1,15326,4.7,1.59202346135834,1.43649625155806,0.212344596041372,1.06527679652153,0.528268085809286
4,"e2e + reshuffle",2.31143675661306,0.5,0.628526548753762,0.418184317963727,"high-3",10,16,1,15326,4.8,1.59202346135834,1.43649625155806,0.212344596041372,1.01262870502404,0.450428006070615
1,"e2e",2.54872968200077,0.5,0.667078516322771,0.323578876522112,"high-3",10,16,1,15326,5.1,1.59202346135834,1.43649625155806,0.212344596041372,0.786058019657351,0.0811249320012436
4,"e2e + reshuffle",3.93705928440846,0.5,0.504960365020923,0.357693679763068,"low-2",10,16,1,15326,0,1.59202346135834,1.43649625155806,0.212344596041372,2.90829254930447,-0.492846863030523
1,"e2e",4.24560554508824,0.5,0.510563705667682,0.339294400355415,"low-2",10,16,1,15326,0,1.59202346135834,1.43649625155806,0.212344596041372,3.0642954052214,-0.416536923463231
3,"e2e",4.3094645489,0.5,0.516297065503777,0.345321394722666,"low-2",10,16,1,15326,0,1.59202346135834,1.43649625155806,0.212344596041372,3.19363370948504,-0.423905989956676
5,"e2e + reshuffle",3.95916233314471,0.553591009854386,0.491777161457561,0.354573520706595,"low-3",10,16,1,15326,0.1,1.59202346135834,1.43649625155806,0.212344596041372,2.58171891154061,0.713917525699112
2,"e2e",3.69008950397344,0.71648866714424,0.53161649169582,0.342091265276759,"low-3",10,16,1,15326,0.2,1.59202346135834,1.43649625155806,0.212344596041372,2.69716292834834,0.128255303028049
4,"e2e",3.3508929979853,0.613679539962582,0.546588173042534,0.34229540367381,"low-3",10,16,1,15326,0.1,1.59202346135834,1.43649625155806,0.212344596041372,2.2990502585819,-0.100395770340541
1,"e2e",1.00992275833551,0.5,0.675423533349069,0.305134962231404,"mixed",10,16,1,15326,2.1,1.59202346135834,1.43649625155806,0.212344596041372,1.38039460865879,0.0894773905179343
