"a","b","c","d","e","f","g","h","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","feasible.and.stable","state_idx"
0,0,0,0,1,0,0,1,2,0,0,0,0,0.0426584347826087,0,0,0.0936115652173913,NA,144
0,0,0,0,0,1,0,1,2,0,0,0,0,0,0.145125925925926,0,0.00181407407407407,NA,160
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.14273,0,0,NA,160
0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0.0796911111111111,0.0576488888888889,NA,192
0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0.0888036974789916,0.0600363025210084,NA,192
1,1,1,0,0,0,0,0,2,0.0682074,0,0.1324026,0,0,0,0,0,NA,7
1,1,1,0,0,0,0,0,2,0.0504858490566,0,0.102414150943,0,0,0,0,0,NA,7
1,1,0,1,0,0,0,0,3,0.0516917829457,0.115626356589,0,0.00816186046512,0,0,0,0,NA,11
1,1,0,1,0,0,0,0,3,0.0448254263566,0.0825195348837,0,0.00407503875969,0,0,0,0,NA,11
1,1,0,0,1,0,0,0,3,0.05690625,0.00517329545455,0,0,0.0896704545455,0,0,0,NA,19
1,1,0,0,1,0,0,0,2,0.037315625,0,0,0,0.082094375,0,0,0,NA,19
1,1,0,0,0,1,0,0,3,0.00376748201439,0.038930647482,0,0,0,0.131861870504,0,0,NA,35
1,1,0,0,0,1,0,0,3,0.0069797029703,0.0418782178218,0,0,0,0.0921320792079,0,0,NA,35
1,1,0,0,0,0,1,0,3,0.0324776271186,0.0649552542373,0,0,0,0,0.0394371186441,0,NA,67
1,1,0,0,0,0,1,0,3,0.0151228125,0.099558515625,0,0,0,0,0.046628671875,0,NA,67
1,1,0,0,0,0,0,1,2,0.0327709649123,0.129659035088,0,0,0,0,0,0,NA,131
1,1,0,0,0,0,0,1,2,0.0426933606557,0.0784366393443,0,0,0,0,0,0,NA,131
1,0,1,1,0,0,0,0,2,0.0454676315789474,0,0.111602368421053,0,0,0,0,0,NA,13
1,0,1,1,0,0,0,0,2,0.0530217721518987,0,0.0820982278481013,0,0,0,0,0,NA,13
1,0,1,0,1,0,0,0,3,0.0401753246753247,0,0.0337472727272727,0,0.0498174025974026,0,0,0,NA,21
1,0,1,0,1,0,0,0,3,0.0517087654320988,0,0.0300244444444444,0,0.0533767901234568,0,0,0,NA,21
1,0,1,0,0,1,0,0,2,0.0598082352941176,0,0.0804317647058824,0,0,0,0,0,NA,37
1,0,1,0,0,1,0,0,3,0.02817,0,0.0965828571428572,0,0,0.0160971428571429,0,0,NA,37
1,0,1,0,0,0,0,1,2,0.0451333333333333,0,0.0902666666666667,0,0,0,0,0,NA,133
1,0,1,0,0,0,0,1,2,0.0578008421052632,0,0.0947291578947368,0,0,0,0,0,NA,133
1,0,0,1,0,0,1,0,2,0.00763636363636364,0,0,0,0,0,0.109963636363636,0,NA,73
1,0,0,1,0,0,1,0,2,0.00293272727272727,0,0,0,0,0,0.109977272727273,0,NA,73
1,0,0,1,0,0,0,1,3,0.0761895625,0,0,0.0470834375,0,0,0,0.013697,NA,137
1,0,0,1,0,0,0,1,3,0.07956,0,0,0.05148,0,0,0,0.01404,NA,137
1,0,0,0,1,1,0,0,3,0.0449115789473684,0,0,0,0.0639126315789474,0.0224557894736842,0,0,NA,49
1,0,0,0,1,1,0,0,3,0.04337,0,0,0,0.0374559090909091,0.0492840909090909,0,0,NA,49
1,0,0,0,1,0,1,0,3,0.0514702083333333,0,0,0,0.0528246875,0,0.0257351041666667,0,NA,81
1,0,0,0,1,0,1,0,3,0.0407605633802817,0,0,0,0.0570647887323944,0,0.0179346478873239,0,NA,81
1,0,0,0,1,0,0,1,2,0.0522121495327103,0,0,0,0.0692378504672897,0,0,0,NA,145
1,0,0,0,1,0,0,1,2,0.0567742222222222,0,0,0,0.0543057777777778,0,0,0,NA,145
1,0,0,0,0,1,1,0,2,0.0189077142857143,0,0,0,0,0.120412285714286,0,0,NA,97
1,0,0,0,0,1,1,0,3,0.0056896694214876,0,0,0,0,0.130862396694215,0.00113793388429752,0,NA,97
1,0,0,0,0,1,0,1,2,0.0114386363636364,0,0,0,0,0.0964113636363636,0,0,NA,161
1,0,0,0,0,1,0,1,3,0.0338622099447514,0,0,0,0,0.111261546961326,0,0.000806243093922652,NA,161
1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0.108849230769231,0.0238107692307692,NA,193
1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0.130072857142857,0.00156714285714286,NA,193
0,1,1,0,0,1,0,0,2,0,0,0.1048575,0,0,0.0603725,0,0,NA,38
0,1,1,0,0,1,0,0,2,0,0,0.124446185567,0,0,0.040913814433,0,0,NA,38
0,1,1,0,0,0,1,0,2,0,0,0.111767301587,0,0,0,0.0599726984127,0,NA,70
0,1,1,0,0,0,1,0,2,0,0,0.100282909091,0,0,0,0.0529270909091,0,NA,70
0,1,1,0,0,0,0,1,2,0,0,0.055304,0,0,0,0,0.082956,NA,134
0,1,1,0,0,0,0,1,2,0,0,0.0703803571429,0,0,0,0,0.108769642857,NA,134
0,1,0,1,1,0,0,0,3,0,0.0436529032258,0,0.00242516129032,0.0291019354839,0,0,0,NA,26
0,1,0,1,1,0,0,0,2,0,0.0471753191489,0,0,0.0349446808511,0,0,0,NA,26
0,1,0,1,0,1,0,0,2,0,0.039677826087,0,0,0,0.090692173913,0,0,NA,42
0,1,0,1,0,1,0,0,2,0,0.0589196666667,0,0,0,0.101770333333,0,0,NA,42
0,1,0,1,0,0,1,0,2,0,0.0875379439252,0,0,0,0,0.0797220560748,0,NA,74
0,1,0,1,0,0,1,0,2,0,0.0975793939394,0,0,0,0,0.0719006060606,0,NA,74
0,1,0,1,0,0,0,1,3,0,0.0597768421053,0,0.00533721804511,0,0,0,0.0768559398496,NA,138
0,1,0,1,0,0,0,1,3,0,0.0450407407407,0,0.00270244444444,0,0,0,0.0738668148148,NA,138
0,1,0,0,1,0,1,0,2,0,0,0,0,0.0665553658537,0,0.0988246341463,0,NA,82
0,1,0,0,1,0,1,0,2,0,0,0,0,0.0601961538462,0,0.113703846154,0,NA,82
0,1,0,0,1,0,0,1,3,0,0.00996854700855,0,0,0.0398741880342,0,0,0.0959472649573,NA,146
0,1,0,0,1,0,0,1,3,0,0.00938823529412,0,0,0.0305117647059,0,0,0.0798,NA,146
0,1,0,0,0,1,1,0,3,0,0.0551755102041,0,0,0,0.0934918367347,0.00153265306122,0,NA,98
0,1,0,0,0,1,1,0,2,0,0.0419494382022,0,0,0,0.0825005617978,0,0,NA,98
0,1,0,0,0,0,1,1,3,0,0.0913309649123,0,0,0,0,0.0835910526316,0.00154798245614,NA,194
0,1,0,0,0,0,1,1,2,0,0.0910907317073,0,0,0,0,0.0786692682927,0,NA,194
0,0,1,1,1,0,0,0,1,0,0,0.07404,0,0,0,0,0,NA,28
0,0,1,1,1,0,0,0,2,0,0,0.0775168656716418,0,0.00321313432835821,0,0,0,NA,28
0,0,1,1,0,1,0,0,2,0,0,0.0987549397590362,0,0,0.0530350602409639,0,0,NA,44
0,0,1,1,0,1,0,0,2,0,0,0.0986829411764706,0,0,0.0538270588235294,0,0,NA,44
0,0,1,1,0,0,0,1,2,0,0,0.0681572815533981,0,0,0,0,0.0594827184466019,NA,140
0,0,1,1,0,0,0,1,2,0,0,0.0851748529411765,0,0,0,0,0.0633351470588235,NA,140
0,0,1,0,1,1,0,0,2,0,0,0.0823663492063492,0,0,0.0702536507936508,0,0,NA,52
0,0,1,0,1,1,0,0,2,0,0,0.0853675757575758,0,0,0.0629024242424242,0,0,NA,52
0,0,1,0,1,0,0,1,3,0,0,0.0502146153846154,0,0.02251,0,0,0.0623353846153846,NA,148
0,0,1,0,1,0,0,1,3,0,0,0.0691149438202247,0,0.0151715730337079,0,0,0.0657434831460674,NA,148
0,0,1,0,0,1,1,0,2,0,0,0.11554125,0,0,0,0.05251875,0,NA,100
0,0,1,0,0,1,1,0,2,0,0,0.109654929577465,0,0,0,0.0460550704225352,0,NA,100
0,0,1,0,0,1,0,1,2,0,0,0.09999,0,0,0.04444,0,0,NA,164
0,0,1,0,0,1,0,1,3,0,0,0.0855560824742268,0,0,0.0522037113402062,0,0.00290020618556701,NA,164
0,0,1,0,0,0,1,1,3,0,0,0.0840144736842105,0,0,0,0.0576815789473684,0.00125394736842105,NA,196
0,0,1,0,0,0,1,1,2,0,0,0.0980415652173913,0,0,0,0.0727884347826087,0,NA,196
0,0,0,1,1,1,0,0,2,0,0,0,0,0.0856864705882353,0.0650035294117647,0,0,NA,56
0,0,0,1,1,1,0,0,2,0,0,0,0,0.0531801470588235,0.0914698529411765,0,0,NA,56
0,0,0,1,1,0,1,0,2,0,0,0,0,0.04500125,0,0.10928875,0,NA,88
0,0,0,1,1,0,1,0,2,0,0,0,0,0.0562516326530612,0,0.0888183673469388,0,NA,88
0,0,0,1,1,0,0,1,3,0,0,0,0.017020253164557,0.0472784810126582,0,0,0.0851012658227848,NA,152
0,0,0,1,1,0,0,1,3,0,0,0,0.0078644578313253,0.0440409638554217,0,0,0.078644578313253,NA,152
0,0,0,1,0,1,1,0,1,0,0,0,0,0,0.13606,0,0,NA,104
0,0,0,1,0,1,1,0,2,0,0,0,0,0,0.140017281553398,0.00137271844660194,0,NA,104
