"Ea.action","Pa.action","Pch.action","Pci.action","Pf.action","Pp.action","Pv.action","Sm.action"
0.0187143883612753,0,0,0.0112342607441721,0,0,0,0
0.0033353997370865,0,0,0.0329910652288657,0,0,0,0
0,0.00834594795955219,0,0,0.0406928887678806,0,0,0
0,0.0135192867898216,0,0,0.00499476241134752,0,0,0
0,0,0,0,0,0.0187143883612753,0,0.0187143883612753
0,0,0,0,0,0.0033353997370865,0,0.0033353997370865
0.00834594795955219,0,0.00834594795955219,0.0406928887678806,0,0,0,0
0.0135192867898216,0,0.0135192867898216,0.00499476241134752,0,0,0,0
0.0187143883612753,0,0,0,0,0.0112342607441721,0.0187143883612753,0
0.0033353997370865,0,0,0,0,0.0329910652288657,0.0033353997370865,0
0,0.00834594795955219,0,0,0.0406928887678806,0.00834594795955219,0,0
0,0.0135192867898216,0,0,0.00499476241134752,0.0135192867898216,0,0
0,0,0.0112342607441721,0.0187143883612753,0.0112342607441721,0,0,0
0,0,0.0329910652288657,0.0033353997370865,0.0329910652288657,0,0,0
0,0,0.00834594795955219,0.0406928887678806,0,0,0.00834594795955219,0
0,0,0.0135192867898216,0.00499476241134752,0,0,0.0135192867898216,0
0,0,0.0187143883612753,0,0.0187143883612753,0,0,0.0112342607441721
0,0,0.0033353997370865,0,0.0033353997370865,0,0,0.0329910652288657
0,0,0.0406928887678806,0,0,0.00834594795955219,0,0.00834594795955219
0,0,0.00499476241134752,0,0,0.0135192867898216,0,0.0135192867898216
