"Ea.action.outcome","Pa.action.outcome","Pch.action.outcome","Pci.action.outcome","Pf.action.outcome","Pp.action.outcome","Pv.action.outcome","Sm.action.outcome"
0.398229182921295,0.262483556819955,0.262427987528466,0.0464230158730158,0.0294853009793108,0.0582068931950289,0.252489382991618,0.059605870380191
0.398229182921295,0.262483556819955,0.262427987528466,0.0464230158730158,0.0294853009793108,0.0582068931950289,0.252489382991618,0.059605870380191
0.26753184415242,0.365059073258353,0.26672612395805,0.0563341269841269,0.0422558949790092,0.0714098286107052,0.256169377899169,0.0722976360071055
0.26753184415242,0.365059073258353,0.26672612395805,0.0563341269841269,0.0422558949790092,0.0714098286107052,0.256169377899169,0.0722976360071055
0.267670919051816,0.270284341615746,0.377748365782519,0.0573079365079364,0.0378652385312418,0.0719772163523062,0.25778631670285,0.0735726582336962
0.267670919051816,0.270284341615746,0.377748365782519,0.0573079365079364,0.0378652385312418,0.0719772163523062,0.25778631670285,0.0735726582336962
0.262347680214039,0.267775713374244,0.266725445147401,0.048815873015873,0.0338952208850461,0.0638245999764727,0.391215937081135,0.0652979807860701
0.262347680214039,0.267775713374244,0.266725445147401,0.048815873015873,0.0338952208850461,0.0638245999764727,0.391215937081135,0.0652979807860701
0.761881314430803,0.822941867198565,0.85368399360909,0.815355555555555,0.739655954294194,0.958470550697136,0.777620464753271,0.970740759886649
0.761881314430803,0.822941867198565,0.85368399360909,0.815355555555555,0.739655954294194,0.958470550697136,0.777620464753271,0.970740759886649
0.919405527482433,0.787718467292226,0.776285522886055,0.807249999999999,1.14956394547056,1.06414924647046,0.762183064042112,0.958800742758731
0.919405527482433,0.787718467292226,0.776285522886055,0.807249999999999,1.14956394547056,1.06414924647046,0.762183064042112,0.958800742758731
0.786138658962025,0.817838317348027,0.746296789812704,0.80652619047619,0.765576413842527,0.992327874198878,0.760456119323371,0.958300993291484
0.786138658962025,0.817838317348027,0.746296789812704,0.80652619047619,0.765576413842527,0.992327874198878,0.760456119323371,0.958300993291484
0.758909794957259,0.78542417328659,0.765622269466818,0.728257142857142,0.733943504237544,0.874715923466508,0.791549602471857,0.906261542933494
0.758909794957259,0.78542417328659,0.765622269466818,0.728257142857142,0.733943504237544,0.874715923466508,0.791549602471857,0.906261542933494
0.750053905344983,0.773837193716257,0.878284103108461,0.749568253968254,0.619763005062889,0.835678118241013,0.963814418176393,0.904829555419091
0.750053905344983,0.773837193716257,0.878284103108461,0.749568253968254,0.619763005062889,0.835678118241013,0.963814418176393,0.904829555419091
0.80073512296377,0.81918434649811,0.795036336147463,0.811768253968263,0.779828479784803,0.954708167908791,0.745032869571832,0.965792937254043
0.80073512296377,0.81918434649811,0.795036336147463,0.811768253968263,0.779828479784803,0.954708167908791,0.745032869571832,0.965792937254043
