"V1","V2","V3","V4","V5","V6","V7","V8"
0.133772892635757,0,0,0,0,0,0,0
0.133772892635757,0,0,0,0,0,0,0
0,0.0747362862376083,0,0,0,0,0,0
0,0.0747362862376083,0,0,0,0,0,0
0,0,0.079885703896147,0,0,0,0,0
0,0,0.079885703896147,0,0,0,0,0
0,0,0,0.0529173353040874,0,0,0,0
0,0,0,0.0529173353040874,0,0,0,0
0,0,0,0,0,0.139946974290762,0,0
0,0,0,0,0,0.139946974290762,0,0
0,0,0,0,0,0,0.112792135661545,0
0,0,0,0,0,0,0.112792135661545,0
0,0,0,0,0,0,0,0.143923513654376
0,0,0,0,0,0,0,0.143923513654376
0.0508565624090984,0.115165540915191,0,0,0,0,0,0
0.0508565624090984,0.115165540915191,0,0,0,0,0,0
0.11230279726593,0,0,0.0498325355219841,0,0,0,0
0.11230279726593,0,0,0.0498325355219841,0,0,0,0
0,0,0,0,0,0,0.117626705247551,0
0,0,0,0,0,0,0.117626705247551,0
0.124035334962497,0,0,0,0,0,0,0.000657538828264045
0.124035334962497,0,0,0,0,0,0,0.000657538828264045
0,0.00340186457268292,0.0798857038961469,0,0,0,0,0
0,0.00340186457268292,0.0798857038961469,0,0,0,0,0
0,0.0747362862376083,0,0,0,0,0,0
0,0.0747362862376083,0,0,0,0,0,0
0,0.031335720206686,0,0,0.0349175648642122,0,0,0
0,0.031335720206686,0,0,0.0349175648642122,0,0,0
0,0.0459487165618842,0,0,0,0.0813624045342724,0,0
0,0.0459487165618842,0,0,0,0.0813624045342724,0,0
0,0.0880586129715746,0,0,0,0,0.0733984971673767,0
0,0.0880586129715746,0,0,0,0,0.0733984971673767,0
0,0.0591686977908336,0,0,0,0,0,0.0529909922039174
0,0.0591686977908336,0,0,0,0,0,0.0529909922039174
0,0,0.079885703896147,0,0,0,0,0
0,0,0.079885703896147,0,0,0,0,0
0,0,0.079885703896147,0,0,0,0,0
0,0,0.079885703896147,0,0,0,0,0
0,0,0.0930524122592062,0,0,0.0526476612454834,0,0
0,0,0.0930524122592062,0,0,0.0526476612454834,0,0
0,0,0.103117254758538,0,0,0,0.0589494907348614,0
0,0,0.103117254758538,0,0,0,0.0589494907348614,0
0,0,0.08007362965229,0,0,0,0,0.0657314538246653
0,0,0.08007362965229,0,0,0,0,0.0657314538246653
0,0,0,0.0573830924414868,0.00754545043568097,0,0,0
0,0,0,0.0573830924414868,0.00754545043568097,0,0,0
0,0,0,0,0,0.139946974290762,0,0
0,0,0,0,0,0.139946974290762,0,0
0,0,0,0.000335026062581095,0,0,0.110990006058852,0
0,0,0,0.000335026062581095,0,0,0.110990006058852,0
0,0,0,0.0438175294161968,0,0,0,0.0872302615300371
0,0,0,0.0438175294161968,0,0,0,0.0872302615300371
0,0,0,0,0.376699174106053,0,0,0
0,0,0,0,0.376699174106053,0,0,0
0,0,0,0,0.0521990007310796,0,0.095932831738187,0
0,0,0,0,0.0521990007310796,0,0.095932831738187,0
0,0,0,0,0.049377539674317,0,0,0.0828045746178578
0,0,0,0,0.049377539674317,0,0,0.0828045746178578
0,0,0,0,0,0.134359626352715,0.00731900160970661,0
0,0,0,0,0,0.134359626352715,0.00731900160970661,0
0,0,0,0,0,0.143578244272147,0,0.00127195486524093
0,0,0,0,0,0.143578244272147,0,0.00127195486524093
0,0,0,0,0,0,0.0892171907771588,0.051748553162408
0,0,0,0,0,0,0.0892171907771588,0.051748553162408
