"V1","V2","V3","V4","V5","V6","V7","V8"
0,0,0.0900761647105252,0,0,0,0,0
0,0,0.0900761647105252,0,0,0,0,0
0,0,0,0,0,0.140601113877232,0,0
0,0,0,0,0,0.140601113877232,0,0
0.00530233103299474,0,0,0,0,0,0.111829145749688,0
0.00530233103299474,0,0,0,0,0,0.111829145749688,0
0.0467510040194537,0.450451063676892,0.115164632357427,0,0,0,0,0
0.0467510040194537,0.450451063676892,0.115164632357427,0,0,0,0,0
0.0900610770793602,0.0211310046042086,0,0,0.0849298774010984,0,0,0
0.0900610770793602,0.0211310046042086,0,0,0.0849298774010984,0,0,0
0.045499823271404,0,0.114892327858846,3.32071896852372e-13,0,0,0,0
0.045499823271404,0,0.114892327858846,3.32071896852372e-13,0,0,0,0
0,0.0488723986459831,0,0,0,0.112591168795596,0,0.00118437836457375
0,0.0488723986459831,0,0,0,0.112591168795596,0,0.00118437836457375
3.6931117035309e-06,0,0.101662925623095,0,0,0,0.0783303314259514,0.00247371158411851
3.6931117035309e-06,0,0.101662925623095,0,0,0,0.0783303314259514,0.00247371158411851
0,0.00709464226913575,0.0852884317656986,4.98926370176525e-13,0.00236841221305041,0,0.0871863568742575,1.09525346824865e-05
0,0.00709464226913575,0.0852884317656986,4.98926370176525e-13,0.00236841221305041,0,0.0871863568742575,1.09525346824865e-05
0.000200560595646763,0,0.1063249399375,0,4.35303803988278e-05,0.040318199196419,0,0.00191516765191484
0.000200560595646763,0,0.1063249399375,0,4.35303803988278e-05,0.040318199196419,0,0.00191516765191484
