"V1","V2","V3","V4","V5","V6","V7","V8"
0.127130050620742,0,0,0,0,0,0,0
0.127130050620742,0,0,0,0,0,0,0
0,0.0925467888638139,0,0,0,0,0,0
0,0.0925467888638139,0,0,0,0,0,0
0,0,0.098122911531036,0,0,0,0,0
0,0,0.098122911531036,0,0,0,0,0
0,0,0,0.101424962250726,0,0,0,0
0,0,0,0.101424962250726,0,0,0,0
0,0,0,0,0.073360651323031,0,0,0
0,0,0,0,0.073360651323031,0,0,0
0,0,0,0,0,0.139592071615502,0,0
0,0,0,0,0,0.139592071615502,0,0
0,0,0,0,0,0,0.133379684864198,0
0,0,0,0,0,0,0.133379684864198,0
0,0,0,0,0,0,0,0.130804343692545
0,0,0,0,0,0,0,0.130804343692545
0.0532343147185988,0.103249740486529,0,0,0,0,0,0
0.0532343147185988,0.103249740486529,0,0,0,0,0,0
0.0511463644821867,0,0.102994236865571,0,0,0,0,0
0.0511463644821867,0,0.102994236865571,0,0,0,0,0
0.102748149337832,0,0,0.053433307029951,0,0,0,0
0.102748149337832,0,0,0.053433307029951,0,0,0,0
0.0587313831933914,0,0,0,0.0651597327512118,0,0,0
0.0587313831933914,0,0,0,0.0651597327512118,0,0,0
0.231276097131104,0,0,0,0,0,0,0
0.231276097131104,0,0,0,0,0,0,0
0.00769691674355222,0,0,0,0,0,0.120440756138156,0
0.00769691674355222,0,0,0,0,0,0.120440756138156,0
0.117223679109064,0,0,0,0,0,0,0.00608669433389769
0.117223679109064,0,0,0,0,0,0,0.00608669433389769
0,0.0123416640726486,0.0981229115311942,0,0,0,0,0
0,0.0123416640726486,0.0981229115311942,0,0,0,0,0
0,0.114442087772001,0,0.0136359092558236,0,0,0,0
0,0.114442087772001,0,0.0136359092558236,0,0,0,0
0,0.00782448981813011,0,0,0.0663324637654439,0,0,0
0,0.00782448981813011,0,0,0.0663324637654439,0,0,0
0,0.0553908812279343,0,0,0,0.0826348846318889,0,0
0,0.0553908812279343,0,0,0,0.0826348846318889,0,0
0,0.0796703092918537,0,0,0,0,0.0858418088575269,0
0,0.0796703092918537,0,0,0,0,0.0858418088575269,0
0,0.0460545717917968,0,0,0,0,0,0.0884616434614293
0,0.0460545717917968,0,0,0,0,0,0.0884616434614293
0,0,0.132247283078969,0,0,0,0,0
0,0,0.132247283078969,0,0,0,0,0
0,0,0,0,0.0856844591365267,0,0,0
0,0,0,0,0.0856844591365267,0,0,0
0,0,0.0868798500230515,0,0,0.0624382248681743,0,0
0,0,0.0868798500230515,0,0,0.0624382248681743,0,0
0,0,0.0961030728045896,0,0,0,0.0611795359093967,0
0,0,0.0961030728045896,0,0,0,0.0611795359093967,0
0,0,0.076723632712068,0,0,0,0,0.0696657545925275
0,0,0.076723632712068,0,0,0,0,0.0696657545925275
0,0,0,0,0,0.494076181918714,0,0
0,0,0,0,0,0.494076181918714,0,0
0,0,0,0,0,0,0.170893019946694,0
0,0,0,0,0,0,0.170893019946694,0
0,0,0,0.0239774968052098,0,0,0,0.111119908994612
0,0,0,0.0239774968052098,0,0,0,0.111119908994612
0,0,0,0,0.0475643131775891,0.0910235494697729,0,0
0,0,0,0,0.0475643131775891,0.0910235494697729,0,0
0,0,0,0,0.0522770493442806,0,0.0947958360207955,0
0,0,0,0,0.0522770493442806,0,0.0947958360207955,0
0,0,0,0,0.0519381144851601,0,0,0.0750290237208765
0,0,0,0,0.0519381144851601,0,0,0.0750290237208765
0,0,0,0,0,0.186362805361646,0,0
0,0,0,0,0,0.186362805361646,0,0
0,0,0,0,0,0.166911862086375,0,0
0,0,0,0,0,0.166911862086375,0,0
0,0,0,0,0,0,0.0847565548122475,0.0558530967155413
0,0,0,0,0,0,0.0847565548122475,0.0558530967155413
0.039628473283492,0.0172239967355636,0.101897240123899,0,0,0,0,0
0.039628473283492,0.0172239967355636,0.101897240123899,0,0,0,0,0
0.0559626302879418,0.100676987315388,0,0,0,0,0,0
0.0559626302879418,0.100676987315388,0,0,0,0,0,0
0.0360730143545065,0,0,0,0.144779757399555,0,0,0
0.0360730143545065,0,0,0,0.144779757399555,0,0,0
0,0.0167902038980329,0,0,0,0.155004864822272,0,0
0,0.0167902038980329,0,0,0,0.155004864822272,0,0
0.0248050458129326,0.092017463399389,0,0,0,0,0.0367758698474973,0
0.0248050458129326,0.092017463399389,0,0,0,0,0.0367758698474973,0
0.02649318815639,0.0850265539102992,0,0,0,0,0,0.0244438295606106
0.02649318815639,0.0850265539102992,0,0,0,0,0,0.0244438295606106
0.0544902387027052,0,0.0984118348633681,8.06016721080311e-05,0,0,0,0
0.0544902387027052,0,0.0984118348633681,8.06016721080311e-05,0,0,0,0
0.0519959979333798,0,0.131021447679604,0,0,0,0,0
0.0519959979333798,0,0.131021447679604,0,0,0,0,0
0,0,0.054685048965612,0,0,0.191978777897146,0,0
