"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star"
0.13045,0,0,0,0,0,0,0
0.13418,0,0,0,0,0,0,0
0,0.07483,0,0,0,0,0,0
0,0.07353,0,0,0,0,0,0
0,0,0.07488,0,0,0,0,0
0,0,0.08185,0,0,0,0,0
0,0,0,0.00392,0,0,0,0
0,0,0,0.00307,0,0,0,0
0,0,0,0,0.05297,0,0,0
0,0,0,0,0.04094,0,0,0
0,0,0,0,0,0.14085,0,0
0,0,0,0,0,0.13934,0,0
0,0,0,0,0,0,0.10996,0
0,0,0,0,0,0,0.11812,0
0,0,0,0,0,0,0,0.14208
0,0,0,0,0,0,0,0.14385
0.055836,0.130284,0,0,0,0,0,0
0.0435788571429,0.0950811428571,0,0,0,0,0,0
0.0437924468085106,0,0.0889975531914894,0,0,0,0,0
0.0439822222222222,0,0.0920877777777778,0,0,0,0,0
0.121701418439716,0,0,0.0481985815602837,0,0,0,0
0.103393333333333,0,0,0.0516966666666667,0,0,0,0
0.00236316666666667,0,0,0,0,0.139426833333333,0,0
0.00738848484848485,0,0,0,0,0.114521515151515,0,0
0.00549066666666667,0,0,0,0,0,0.0974593333333333,0
0.00521788732394366,0,0,0,0,0,0.118272112676056,0
0.120278796992481,0,0,0,0,0,0,0.000911203007518797
0.12793,0,0,0,0,0,0,0
0,0,0.0772,0,0,0,0,0
0,0,0.08931,0,0,0,0,0
0,0.07833,0,0,0,0,0,0
0,0.06983,0,0,0,0,0,0
0,0.0295087719298,0,0,0.0377712280702,0,0,0
0,0.0331168627451,0,0,0.0318431372549,0,0,0
0,0.045038,0,0,0,0.083642,0,0
0,0.0468424358974,0,0,0,0.0791475641026,0,0
0,0.0793757017544,0,0,0,0,0.0739942982456,0
0,0.0968484269663,0,0,0,0,0.0721615730337,0
0,0.0661883146067,0,0,0,0,0,0.0618716853933
0,0.0482434188034,0,0,0,0,0,0.0427965811966
0,0,0.07356,0,0,0,0,0
0,0,0.07849,0,0,0,0,0
0,0,0.08041,0,0,0,0,0
0,0,0.07488,0,0,0,0,0
0,0,0.0913431707317073,0,0,0.0615168292682927,0,0
0,0,0.0776841428571429,0,0,0.0692858571428571,0,0
0,0,0.0951328767123288,0,0,0,0.0702171232876712,0
0,0,0.113848101265823,0,0,0,0.0360518987341772,0
0,0,0.0825897752808989,0,0,0,0,0.0674202247191011
0,0,0.072925,0,0,0,0,0.072925
0,0,0,0.0625554054054054,0.00357459459459459,0,0,0
0,0,0,0.0534366101694915,0.00719338983050848,0,0,0
0,0,0,0,0,0.14014,0,0
0,0,0,0,0,0.13096,0,0
0,0,0,0,0,0,0.10751,0
0,0,0,0,0,0,0.11583,0
0,0,0,0.0406055,0,0,0,0.0843345
0,0,0,0.054321213592233,0,0,0,0.098968786407767
0,0,0,0,0.0712567741935484,0.0668032258064516,0,0
0,0,0,0,0.0846043661971831,0.0619056338028169,0,0
0,0,0,0,0.0511546153846154,0,0.0966253846153846,0
0,0,0,0,0.0470960714285714,0,0.108043928571429,0
0,0,0,0,0.065953125,0,0,0.060676875
0,0,0,0,0.0426584347826087,0,0,0.0936115652173913
0,0,0,0,0,0.145125925925926,0,0.00181407407407407
0,0,0,0,0,0.14273,0,0
0,0,0,0,0,0,0.107601012658228,0.0252189873417722
0,0,0,0,0,0,0.0888036974789916,0.0600363025210084
0.0908335483871,0,0,0,0.0851564516129,0,0,0
0,0,0,0,0,0,0,0
0.00376748201439,0.038930647482,0,0,0,0.131861870504,0,0
0,0.0521871428571,0,0,0,0.0903728571429,0,0
0.0300189147287,0.0658106976744,0,0,0,0,0.0531103875969,0
0.0274598305085,0.105503559322,0,0,0,0,0.0375766101695,0
0.0426933606557,0.0784366393443,0,0,0,0,0,0
0.0302785714286,0.126721428571,0,0,0,0,0,0
0.0517087654320988,0,0.0300244444444444,0,0.0533767901234568,0,0,0
0.0464104615384615,0,0.0847495384615385,0,0,0,0,0
0.02817,0,0.0965828571428572,0,0,0.0160971428571429,0,0
0,0,0.0736484848484849,0,0,0.0782515151515152,0,0
0.00316172043010753,0,0.0901090322580645,0,0,0,0.053749247311828,0
0.00944038461538461,0,0.109508461538462,0,0,0,0.0283211538461538,0
0.0525013861386139,0,0.103458613861386,0,0,0,0,0
0.0451333333333333,0,0.0902666666666667,0,0,0,0,0
0.049632,0,0,0.0235752,0.0508728,0,0,0
0.0537446341463415,0,0,0.0109682926829268,0.0701970731707317,0,0,0
0.0281775,0,0,0.0093925,0,0.11271,0,0
0.0201842857142857,0,0,0.00366987012987013,0,0.117435844155844,0,0
0.102313524590164,0,0,0.0300922131147541,0,0,0.014444262295082,0
0.0380542528735632,0,0,0,0,0,0.0801857471264368,0
0.0611320224719101,0,0,0.0681185393258427,0,0,0,0.0261994382022472
0.0761895625,0,0,0.0470834375,0,0,0,0.013697
0.0407605633802817,0,0,0,0.0570647887323944,0,0.0179346478873239,0
0.0394535849056604,0,0,0,0.065345,0,0.0258914150943396,0
0.0610948,0,0,0,0.0563952,0,0,0
0.0610232926829268,0,0,0,0.0553467073170732,0,0,0
0.0312792792792793,0,0,0,0,0.0916036036036036,0,0.00111711711711712
0.0152065040650407,0,0,0,0,0.101693495934959,0,0
0,0,0,0,0,0,0.11791,0
0,0,0,0,0,0,0.130072857142857,0.00156714285714286
0,0,0.08935,0,0,0,0,0
0,0,0.08109,0,0,0,0,0
0,0,0.07558,0,0,0,0,0
0,0,0.09238,0,0.00894,0,0,0
0,0,0.1048575,0,0,0.0603725,0,0
0,0,0.0805362637363,0,0,0.102683736264,0,0
0,0,0.111767301587,0,0,0,0.0599726984127,0
0,0,0.089353125,0,0,0,0.069496875,0
0,0,0.0766802586207,0,0,0,0,0.0977297413793
0,0,0.0703803571429,0,0,0,0,0.108769642857
0,0.0471753191489,0,0,0.0349446808511,0,0,0
0,0.040745,0,0.00135816666667,0.0393868333333,0,0,0
0,0.0656177380952,0,0,0,0.0833522619048,0,0
0,0,0,0,0,0,0,0
0,0.10044047619,0,0,0,0,0.0913095238095,0
0,0.0788105769231,0,0.00175134615385,0,0,0.101578076923,0
0,0.0591893617021,0,0.00269042553191,0,0,0,0.064570212766
0,0.0777785185185,0,0.00598296296296,0,0,0,0.0777785185185
0,0.00224841269841,0,0,0.0719492063492,0.0674523809524,0,0
0,0.00183394736842,0,0,0.0440147368421,0.0935313157895,0,0
0,0.00510566666667,0,0,0.0527585555556,0,0.0953057777778,0
0,0.00530061538462,0,0,0.0768589230769,0,0.0901104615385,0
0,0.00938823529412,0,0,0.0305117647059,0,0,0.0798
0,0,0,0,0.0212294262295,0,0,0.0680805737705
0,0.059017,0,0,0,0.109603,0,0
0,0.0423994186047,0,0,0,0.0926505813953,0,0
0,0.0462857142857,0,0,0,0.109234285714,0,0
0,0.0292828571429,0,0,0,0.0732071428571,0,0
0,0,0.0778160256410256,0.000333974358974359,0,0,0,0
0,0,0.0529122413793104,0,0.0184577586206897,0,0,0
0,0,0.0795957446808511,0,0,0.0700442553191489,0,0
0,0,0.0987549397590362,0,0,0.0530350602409639,0,0
0,0,0.0652375,0,0,0,0.0913325,0
0,0,0.0825531707317073,0,0,0,0.0646068292682927,0
0,0,0.0711578523489933,0,0,0,0,0.0740821476510067
0,0,0.0851748529411765,0,0,0,0,0.0633351470588235
0,0,0.0853675757575758,0,0,0.0629024242424242,0,0
0,0,0.0848597260273973,0,0,0.0739802739726027,0,0
0,0,0.0750339622641509,0,0,0,0.0906660377358491,0
0,0,0.0673835051546392,0,0.0122515463917526,0,0.0689149484536082,0
0,0,0.0691149438202247,0,0.0151715730337079,0,0,0.0657434831460674
0,0,0.0768038461538461,0,0.0121269230769231,0,0,0.0687192307692308
0,0,0.0946583720930233,0,0,0,0.0649616279069767,0
0,0,0.11554125,0,0,0,0.05251875,0
0,0,0.0855560824742268,0,0,0.0522037113402062,0,0.00290020618556701
0,0,0.0894236708860759,0,0,0,0,0.074866329113924
0,0,0.0888202469135802,0,0,0,0.0726711111111111,0.00201864197530864
0,0,0.0980415652173913,0,0,0,0.0727884347826087,0
0,0,0,0,0.0531801470588235,0.0914698529411765,0,0
0,0,0,0,0.0301888,0.1113212,0,0
0,0,0,0.0078644578313253,0.0440409638554217,0,0,0.078644578313253
0,0,0,0.00433186046511628,0.0505383720930232,0,0,0.0693097674418605
0,0,0,0,0,0,0.109967647058824,0.0146623529411765
0,0,0,0,0,0,0.100294032258065,0.0443159677419355
0,0,0,0,0.0498292592592593,0.0734325925925926,0.0183581481481481,0
0,0,0,0,0.0339061333333333,0.0999338666666667,0,0
0,0,0,0,0.0385572,0.0871728,0,0
0,0,0,0,0.0319186486486486,0.107021351351351,0,0
0,0,0,0,0.0538621176470588,0,0.109647882352941,0
0,0,0,0,0.03434,0,0.12019,0
0,0,0,0,0,0.0941908333333333,0.0196816666666667,0.0042175
0,0,0,0,0,0.1389375,0.0106875,0.007125
0,0,0.0741295454545,0,0,0.0209083333333,0.0285113636364,0.00190075757576
0,0,0.0739262295082,0,0.00509836065574,0.020393442623,0.0560819672131,0
0,0,0.0763257142857,0,0.00346935064935,0.0294894805195,0.0208161038961,0.00346935064935
0,0,0.0562720987654,0,0.0314461728395,0.0198607407407,0.0264809876543,0
0.0105476923077,0,0,0,0.0281271794872,0.0984451282051,0,0
0.00433310344828,0,0,0,0.0671631034483,0.0519972413793,0.00216655172414,0
