"LP.outcome","LB.outcome","AP.outcome","AT.outcome","AO.outcome"
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
277125,0,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,632500,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
195875,0,0,0,0
