"Ea.action","Pa.action","Pch.action","Pci.action","Pf.action","Pp.action","Pv.action","Sm.action","environment.initial","Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome"
1,0,0,0,0,0,0,0,0,0.12323,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.14113,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.13199,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.14444,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.13306,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.12451,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.13418,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.13045,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.07266,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.07353,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.07209,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.07483,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.07246,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.06647,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.06849,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0.0711,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0.07488,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0.07866,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0.0819,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0.0897,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0.08225,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0.08185,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00335,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00260999999999999,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00307,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00405999999999999,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00392,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00493,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00378999999999999,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.00319999999999999,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0602,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.06077,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.04094,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.05925,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.05727,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.05297,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0.05343,0,0,0
