"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","num_losses_mean","name","num_train","problem","name_nice","n_sp"
0.97972972972973,0.0294117647058824,0.868263473053892,0.181818181818182,0.868263473053892,0.97972972972973,0.920634920634921,0.8671875,0.849609375,0.978515625,0.504570747217806,1.6875,"forest_trees",89,"shannons_h","Forest trees",9
0.981981981981982,0.0147058823529412,0.866799204771372,0.111111111111111,0.866799204771372,0.981981981981982,0.920802534318902,0.8671875,0.8515625,0.982421875,0.498343932167462,1.64341085271318,"forest_trees",89,"shannons_h","Forest trees",9
0.997747747747748,0,0.86692759295499,0,0.86692759295499,0.997747747747748,0.927748691099476,0.8671875,0.865234375,0.998046875,0.498873873873874,1.64566929133858,"forest_trees",89,"shannons_h","Forest trees",9
0.995495495495496,0.0441176470588235,0.871794871794872,0.600000000000002,0.871794871794872,0.995495495495496,0.929547844374343,0.8671875,0.86328125,0.990234375,0.51980657127716,1.48837209302326,"forest_trees",89,"shannons_h","Forest trees",9
0.993243243243243,0.0735294117647059,0.875,0.624999999999999,0.875,0.993243243243243,0.930379746835443,0.8671875,0.861328125,0.984375,0.533386327503975,1.66153846153846,"forest_trees",89,"shannons_h","Forest trees",9
0.995495495495496,0.0588235294117647,0.873517786561265,0.666666666666669,0.873517786561265,0.995495495495496,0.930526315789474,0.8671875,0.86328125,0.98828125,0.52715951245363,1.5098814229249,"forest_trees",89,"shannons_h","Forest trees",9
0.995495495495496,0.0735294117647059,0.875247524752475,0.714285714285716,0.875247524752475,0.995495495495496,0.931506849315068,0.8671875,0.86328125,0.986328125,0.534512453630101,1.50579150579151,"forest_trees",89,"shannons_h","Forest trees",9
1,0.0294117647058824,0.870588235294118,1,0.870588235294118,1,0.930817610062893,0.8671875,0.8671875,0.99609375,0.514705882352941,1.56521739130435,"forest_trees",89,"shannons_h","Forest trees",9
0.993243243243243,0.117647058823529,0.880239520958084,0.727272727272726,0.880239520958084,0.993243243243243,0.933333333333333,0.8671875,0.861328125,0.978515625,0.555445151033386,1.4484126984127,"forest_trees",89,"shannons_h","Forest trees",9
0.995495495495496,0.0588235294117647,0.873517786561265,0.666666666666669,0.873517786561265,0.995495495495496,0.930526315789474,0.8671875,0.86328125,0.98828125,0.52715951245363,1.4863813229572,"forest_trees",89,"shannons_h","Forest trees",9
0.998967208882004,0.573991031390135,0.976034308779011,0.96969696969697,0.976034308779011,0.998967208882004,0.987367615158862,0.945556640625,0.944580078125,0.9677734375,0.786479120136069,2.67415730337079,"human_gut",89,"shannons_h","Human gut",12
0.992770462174025,0.614349775784753,0.978122615110659,0.830303030303031,0.978122615110659,0.992770462174025,0.985392106611994,0.945556640625,0.938720703125,0.959716796875,0.803560118979389,2.62921348314607,"human_gut",89,"shannons_h","Human gut",12
1,0.00448430493273543,0.945787545787546,1,0.945787545787546,1,0.972138554216867,0.945556640625,0.945556640625,0.999755859375,0.502242152466368,2.67415730337079,"human_gut",89,"shannons_h","Human gut",12
