"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","num_losses_mean","abundance_final_skewness_mean","name","num_train","problem","num_species_dataset","name_nice"
1,0,0.949996948242188,NA,0.949996948242188,1,0.974357369224148,0.949996948242188,0.949996948242188,1,0.5,6.78651685393258,3.45488653989745,"annual_plant",89,"abundance",18,"Annual plant"
0.981902214940812,0,0.949122214588743,0,0.949122214588743,0.981902214940812,0.965233987206739,0.949996948242188,0.932804107666016,0.982807159423828,0.490951107470406,7.04494382022472,3.45003281572929,"annual_plant",89,"abundance",18,"Annual plant"
1,0,0.949996948242188,NA,0.949996948242188,1,0.974357369224148,0.949996948242188,0.949996948242188,1,0.5,7.28089887640449,3.45046171625898,"annual_plant",89,"abundance",18,"Annual plant"
0.946626190590919,0,0.947326121550158,0,0.947326121550158,0.946626190590919,0.946976026736937,0.949996948242188,0.8992919921875,0.949295043945312,0.473313095295459,7.38202247191011,3.48393732779381,"annual_plant",89,"abundance",18,"Annual plant"
0.999871504521435,0,0.949990843608839,0,0.949990843608839,0.999871504521435,0.974293159711082,0.949996948242188,0.949874877929688,0.9998779296875,0.499935752260717,7.07865168539326,3.50250882111641,"annual_plant",89,"abundance",18,"Annual plant"
1,0,0.949996948242188,NA,0.949996948242188,1,0.974357369224148,0.949996948242188,0.949996948242188,1,0.5,7.20224719101124,3.4839568795159,"annual_plant",89,"abundance",18,"Annual plant"
1,0.000305157155935307,0.950011444266422,1,0.950011444266422,1,0.974364993661674,0.949996948242188,0.949996948242188,0.999984741210938,0.500152578577968,7.10112359550562,3.49340630697085,"annual_plant",89,"abundance",18,"Annual plant"
0.999891581939961,0,0.949991797556053,0,0.949991797556053,0.999891581939961,0.974303192977445,0.949996948242188,0.949893951416016,0.999897003173828,0.49994579096998,7.35955056179775,3.50576317029921,"annual_plant",89,"abundance",18,"Annual plant"
0.999747024526574,0,0.949984928323686,0,0.949984928323686,0.999747024526574,0.974230949078195,0.949996948242188,0.949756622314453,0.999759674072266,0.499873512263287,6.82022471910112,3.48154981224618,"annual_plant",89,"abundance",18,"Annual plant"
1,0,0.949996948242188,NA,0.949996948242188,1,0.974357369224148,0.949996948242188,0.949996948242188,1,0.5,7.23595505617978,3.45552163444143,"annual_plant",89,"abundance",18,"Annual plant"
0.986892829606785,0.375609756097561,0.967741935483871,0.601562500000001,0.967741935483871,0.986892829606785,0.977223565339102,0.949951171875,0.9375,0.96875,0.681251292852173,2.42696629213483,1.40946237254111,"human_gut",89,"abundance",12,"Human gut"
0.986892829606785,0.375609756097561,0.967741935483871,0.601562500000001,0.967741935483871,0.986892829606785,0.977223565339102,0.949951171875,0.9375,0.96875,0.681251292852173,2.47191011235955,1.39857510906305,"human_gut",89,"abundance",12,"Human gut"
0.986892829606785,0.385365853658537,0.968229954614221,0.607692307692308,0.968229954614221,0.986892829606785,0.977472317678503,0.949951171875,0.9375,0.96826171875,0.686129341632661,2.70786516853933,1.40799880020102,"human_gut",89,"abundance",12,"Human gut"
0.986892829606785,1,1,0.80078125,1,0.986892829606785,0.993403181994567,0.949951171875,0.9375,0.9375,0.993446414803392,2.73033707865169,1.42561466165464,"human_gut",89,"abundance",12,"Human gut"
1,0,0.949951171875,NA,0.949951171875,1,0.974333291598848,0.949951171875,0.949951171875,1,0.5,2.56179775280899,1.36337844549508,"human_gut",89,"abundance",12,"Human gut"
0.986892829606785,0.492682926829268,0.973630831643002,0.664473684210527,0.973630831643002,0.986892829606785,0.980216975111678,0.949951171875,0.9375,0.962890625,0.739787878218027,2.60674157303371,1.38737322672247,"human_gut",89,"abundance",12,"Human gut"
0.983808789514264,0.385365853658537,0.968133535660091,0.556338028169014,0.968133535660091,0.983808789514264,0.975908221797323,0.949951171875,0.9345703125,0.96533203125,0.6845873215864,2.37078651685393,1.44941166469781,"human_gut",89,"abundance",12,"Human gut"
0.986121819583655,0.375609756097561,0.967717528373266,0.587786259541985,0.967717528373266,0.986121819583655,0.97683299389002,0.949951171875,0.936767578125,0.968017578125,0.680865787840608,2.50561797752809,1.42248607779981,"human_gut",89,"abundance",12,"Human gut"
