"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","num_losses_mean","id_unwanted","name","num_train","name_nice","problem","id_wanted","n_sp"
1,0,0.71875,NA,0.71875,1,0.836363636363636,0.71875,0.71875,1,0.5,0.395727365208545,1,"fly_gut",21,"Fly gut","removal","fly_gut 1",5
1,0,0.71875,NA,0.71875,1,0.836363636363636,0.71875,0.71875,1,0.5,0.437246963562753,1,"fly_gut",21,"Fly gut","removal","fly_gut 1",5
1,0,0.71875,NA,0.71875,1,0.836363636363636,0.71875,0.71875,1,0.5,0.369807497467072,1,"fly_gut",21,"Fly gut","removal","fly_gut 1",5
1,0,0.71875,NA,0.71875,1,0.836363636363636,0.71875,0.71875,1,0.5,0.373239436619718,1,"fly_gut",21,"Fly gut","removal","fly_gut 1",5
1,0,0.71875,NA,0.71875,1,0.836363636363636,0.71875,0.71875,1,0.5,0.345528455284553,1,"fly_gut",21,"Fly gut","removal","fly_gut 1",5
0.956521739130435,0.333333333333333,0.785714285714286,0.75,0.785714285714286,0.956521739130435,0.862745098039216,0.71875,0.6875,0.875,0.644927536231884,0.365030674846626,1,"fly_gut",21,"Fly gut","removal","fly_gut 1",5
1,0,0.71875,NA,0.71875,1,0.836363636363636,0.71875,0.71875,1,0.5,0.425813008130081,1,"fly_gut",21,"Fly gut","removal","fly_gut 1",5
1,0,0.71875,NA,0.71875,1,0.836363636363636,0.71875,0.71875,1,0.5,0.320121951219512,1,"fly_gut",21,"Fly gut","removal","fly_gut 1",5
1,0,0.71875,NA,0.71875,1,0.836363636363636,0.71875,0.71875,1,0.5,0.357287449392713,1,"fly_gut",21,"Fly gut","removal","fly_gut 1",5
1,0,0.71875,NA,0.71875,1,0.836363636363636,0.71875,0.71875,1,0.5,0.35258358662614,1,"fly_gut",21,"Fly gut","removal","fly_gut 1",5
1,0.214285714285714,0.620689655172414,1,0.620689655172414,1,0.765957446808511,0.5625,0.5625,0.90625,0.607142857142857,0.395727365208545,2,"fly_gut",21,"Fly gut","removal","fly_gut 2",5
1,0.357142857142857,0.666666666666667,1,0.666666666666667,1,0.8,0.5625,0.5625,0.84375,0.678571428571429,0.437246963562753,2,"fly_gut",21,"Fly gut","removal","fly_gut 2",5
1,0.357142857142857,0.666666666666667,1,0.666666666666667,1,0.8,0.5625,0.5625,0.84375,0.678571428571429,0.369807497467072,2,"fly_gut",21,"Fly gut","removal","fly_gut 2",5
0.944444444444444,0.285714285714286,0.62962962962963,0.8,0.62962962962963,0.944444444444444,0.755555555555556,0.5625,0.53125,0.84375,0.615079365079365,0.373239436619718,2,"fly_gut",21,"Fly gut","removal","fly_gut 2",5
