"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
1,0,0,0,1,1,"dry",7.13861300037169e-26,0,0,0,5072.11153581888,5.0389002839438e-269
0,1,0,0,1,1,"dry",0,1.31718612843544e-135,0,0,5072.11153581888,8.0578857232274e-269
1,1,0,0,1,1,"dry",7.23237949283402e-26,1.63717347311853e-136,0,0,5072.11153581888,7.21692384600955e-269
0,0,1,0,1,1,"dry",0,0,0,0,5072.11153581888,5.54275456133143e-269
1,0,1,0,1,1,"dry",7.01216860793923e-26,0,0,0,5072.11153581888,5.47251465328903e-269
0,1,1,0,1,1,"dry",0,1.44742843229768e-135,0,0,5072.11153581888,8.50535164238985e-269
1,1,1,0,1,1,"dry",7.12707742140689e-26,2.05791597918216e-136,0,0,5072.11153581888,7.57245307976759e-269
0,0,0,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,2.57083444892439e-269
1,0,0,1,1,1,"dry",1.15556818506023e-46,0,0,387.177162777096,4877.09164380973,2.61573153315175e-269
0,1,0,1,1,1,"dry",0,3.1397938265703e-157,0,387.177162777096,4877.09164380973,3.71721241598468e-269
1,1,0,1,1,1,"dry",1.20443878568174e-46,8.77820489749116e-158,0,387.177162777096,4877.09164380973,3.49716613783643e-269
0,0,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,2.73421341845366e-269
1,0,1,1,1,1,"dry",1.13081473283004e-46,0,0,387.177162777096,4877.09164380973,2.75811534468447e-269
0,1,1,1,1,1,"dry",0,3.36526789710043e-157,0,387.177162777096,4877.09164380973,3.89297715474819e-269
1,1,1,1,1,1,"dry",1.18243313496139e-46,9.99463781766105e-158,0,387.177162777096,4877.09164380973,3.64763010411088e-269
