"ACRU.action","ACSA.action","BEAL.action","FAGR.action","TSCA.action","FRAM.action","PIST.action","PRSE.action","QURU.action","environment.initial","ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome","state_idx"
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,307,256
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306,0,128
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,162,0,128
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,299,0,128
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,0,0,64
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,242,0,0,64
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,297,0,151,320
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,168,0,22,320
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,280,0,74,320
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,94,216,0,192
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,135,163,0,192
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,200,167,0,192
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,182,99,46,448
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,140,157,9,448
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,169,149,79,448
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,266,288
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,62,0,0,243,288
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,103,141,416
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,166,45,416
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,200,25,416
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,259,0,48,352
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,91,114,45,480
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,126,190,53,480
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,91,156,8,480
0,0,0,0,1,0,0,0,1,0,0,0,0,0,226,0,0,0,103,272
0,0,0,0,1,0,0,0,1,0,0,0,0,0,247,0,0,0,97,272
0,0,0,0,1,0,0,0,1,0,0,0,0,0,190,0,0,0,29,272
0,0,0,0,1,0,1,0,0,0,0,0,0,0,296,0,123,0,0,80
0,0,0,0,1,0,1,0,0,0,0,0,0,0,209,0,50,0,0,80
0,0,0,0,1,0,1,0,0,0,0,0,0,0,240,0,58,0,0,80
0,0,0,0,1,0,1,0,1,0,0,0,0,0,218,0,39,0,20,336
0,0,0,0,1,0,1,0,1,0,0,0,0,0,143,0,32,0,4,336
0,0,0,0,1,0,1,0,1,0,0,0,0,0,184,0,75,0,34,336
0,0,0,0,1,0,1,1,0,0,0,0,0,0,147,0,11,70,0,208
0,0,0,0,1,0,1,1,0,0,0,0,0,0,276,0,18,46,0,208
0,0,0,0,1,0,1,1,0,0,0,0,0,0,174,0,5,92,0,208
0,0,0,0,1,1,0,0,0,0,0,0,0,0,305,3,0,0,0,48
0,0,0,0,1,1,0,0,0,0,0,0,0,0,255,12,0,0,0,48
0,0,0,0,1,1,0,0,0,0,0,0,0,0,303,4,0,0,0,48
0,0,0,0,1,1,1,1,0,0,0,0,0,0,183,4,1,36,0,240
0,0,0,0,1,1,1,1,0,0,0,0,0,0,174,6,77,67,0,240
0,0,0,0,1,1,1,1,0,0,0,0,0,0,210,0,25,123,0,240
0,0,0,0,1,1,1,1,1,0,0,0,0,0,108,0,11,37,3,496
0,0,0,0,1,1,1,1,1,0,0,0,0,0,272,0,0,40,23,496
0,0,0,0,1,1,1,1,1,0,0,0,0,0,123,0,4,77,32,496
0,0,0,1,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,8
0,0,0,1,0,0,0,1,1,0,0,0,0,211,0,0,0,17,35,392
0,0,0,1,0,0,0,1,1,0,0,0,0,177,0,0,0,8,0,392
0,0,0,1,0,0,0,1,1,0,0,0,0,298,0,0,0,25,0,392
0,0,0,1,0,0,1,1,0,0,0,0,0,231,0,0,1,40,0,200
