"ACRU.action","ACSA.action","BEAL.action","FAGR.action","TSCA.action","FRAM.action","PIST.action","PRSE.action","QURU.action","environment.initial","ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome","state_idx"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,259,0,48,352
0,0,0,0,1,0,0,1,0,0,0,0,0,0,209,0,0,51,0,144
0,0,0,0,1,0,0,1,0,0,0,0,0,0,180,0,0,92,0,144
0,0,0,0,1,0,0,1,0,0,0,0,0,0,197,0,0,58,0,144
0,0,0,0,1,0,1,0,1,0,0,0,0,0,218,0,39,0,20,336
0,0,0,0,1,0,1,0,1,0,0,0,0,0,143,0,32,0,4,336
0,0,0,0,1,0,1,0,1,0,0,0,0,0,184,0,75,0,34,336
0,0,0,0,1,1,0,1,1,0,0,0,0,0,163,4,0,39,14,432
0,0,0,0,1,1,0,1,1,0,0,0,0,0,144,1,0,47,6,432
0,0,0,0,1,1,0,1,1,0,0,0,0,0,106,0,0,61,4,432
0,0,0,0,1,1,1,1,0,0,0,0,0,0,174,6,77,67,0,240
0,0,0,0,1,1,1,1,0,0,0,0,0,0,183,4,1,36,0,240
0,0,0,0,1,1,1,1,0,0,0,0,0,0,210,0,25,123,0,240
0,0,0,1,0,1,0,1,1,0,0,0,0,227,0,0,0,8,12,424
0,0,0,1,0,1,0,1,1,0,0,0,0,161,0,0,0,6,3,424
0,0,0,1,0,1,0,1,1,0,0,0,0,203,0,2,0,8,3,424
0,0,0,1,1,1,0,0,1,0,0,0,0,201,126,0,0,0,0,312
0,0,0,1,1,1,0,0,1,0,0,0,0,165,95,0,0,0,6,312
0,0,0,1,1,1,0,0,1,0,0,0,0,134,90,0,0,0,2,312
0,0,0,1,1,1,1,0,0,0,0,0,0,156,107,0,1,0,0,120
0,0,0,1,1,1,1,0,0,0,0,0,0,172,119,1,3,0,0,120
