"ACRU.action","ACSA.action","BEAL.action","FAGR.action","TSCA.action","FRAM.action","PIST.action","PRSE.action","QURU.action","environment.initial","ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome","state_idx"
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,307,256
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,177,94,384
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,231,16,384
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,279,103,384
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,195,0,160
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,141,0,160
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,32,0,193,0,160
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,293,0,0,96
0,0,0,0,1,0,1,0,1,0,0,0,0,0,218,0,39,0,20,336
0,0,0,0,1,0,1,0,1,0,0,0,0,0,184,0,75,0,34,336
0,0,0,0,1,0,1,0,1,0,0,0,0,0,143,0,32,0,4,336
0,0,0,0,1,1,0,0,1,0,0,0,0,0,194,0,0,0,12,304
0,0,0,0,1,1,0,0,1,0,0,0,0,0,270,0,0,0,26,304
0,0,0,1,0,0,1,1,1,0,0,0,0,237,0,0,2,15,2,456
0,0,0,1,0,0,1,1,1,0,0,0,0,168,0,0,20,29,6,456
0,0,0,1,0,0,1,1,1,0,0,0,0,201,0,0,65,16,20,456
0,0,0,1,1,0,1,0,0,0,0,0,0,114,119,0,27,0,0,88
0,0,0,1,1,0,1,0,0,0,0,0,0,148,116,0,25,0,0,88
0,0,0,1,1,0,1,0,0,0,0,0,0,157,137,0,6,0,0,88
0,0,0,1,1,0,1,0,1,0,0,0,0,135,169,0,0,0,15,344
0,0,0,1,1,0,1,0,1,0,0,0,0,82,188,0,13,0,9,344
0,0,0,1,1,0,1,0,1,0,0,0,0,106,120,0,16,0,1,344
0,0,0,1,1,1,0,1,0,0,0,0,0,73,114,0,0,15,0,184
0,0,0,1,1,1,0,1,0,0,0,0,0,99,80,0,0,30,0,184
0,0,0,1,1,1,0,1,0,0,0,0,0,81,80,1,0,40,0,184
0,0,1,0,0,0,1,0,0,0,0,0,254,0,0,0,12,0,0,68
0,0,1,0,0,0,1,0,0,0,0,0,231,0,0,0,55,0,0,68
0,0,1,0,0,0,1,0,0,0,0,0,169,0,0,0,87,0,0,68
0,0,1,0,0,0,1,1,0,0,0,0,203,0,0,0,42,26,0,196
0,0,1,0,0,0,1,1,0,0,0,0,160,0,0,0,30,102,0,196
0,0,1,0,0,0,1,1,0,0,0,0,226,0,0,0,8,43,0,196
0,0,1,0,0,0,1,1,1,0,0,0,98,0,0,0,7,97,0,452
0,0,1,0,0,0,1,1,1,0,0,0,151,0,0,0,47,81,2,452
0,0,1,0,0,0,1,1,1,0,0,0,155,0,0,0,58,116,3,452
0,0,1,0,0,1,0,0,0,0,0,0,264,0,0,0,0,0,0,36
0,0,1,0,0,1,0,0,0,0,0,0,257,0,0,0,0,0,0,36
0,0,1,0,0,1,0,0,0,0,0,0,195,0,0,69,0,0,0,36
0,0,1,1,0,1,0,1,1,0,0,0,24,152,0,0,0,1,0,428
0,0,1,1,0,1,0,1,1,0,0,0,6,156,0,0,0,56,0,428
0,0,1,1,0,1,0,1,1,0,0,0,28,190,0,0,0,11,0,428
0,0,1,1,0,1,1,1,1,0,0,0,6,125,0,0,7,11,0,492
0,0,1,1,0,1,1,1,1,0,0,0,42,217,0,0,0,1,0,492
0,0,1,1,0,1,1,1,1,0,0,0,32,160,0,0,0,21,2,492
