"a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star","feasible.and.stable","state_idx"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,88.02,0,0,0,0,0,0,0,0,0,0,NA,128
0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,121.83,0,1.27,20,0,0,0,0,0,0,NA,3344
1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,10,3.75,0,0,39.95,0,0,0,21.72,0,1.25,3.98,0.3,0.08,3.03,0,0,6.57,43.73,NA,245695
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,3,0,2.12,0,0,0,0,0,0,0,0,0,0,26.37,4.38,0,0,0,0,NA,62502
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4
0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,8.87,0,102.35,0,3.2,0,0,0,0,0,0,0,NA,34166
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,59.17,0,NA,67632
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,34.33,0,0,0,0,57.17,NA,135202
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,11,1.25,0,0,0,11.48,0,8.62,15.52,66.4,0,2.33,6.9,12.62,1.53,0,0,24.43,39.93,NA,262103
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,67,0,0,0,0,63.5,0,0,0,0,0,NA,53376
1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,11,4,0,0,56.33,0.04,0,0.67,0,21,2.17,0.5,0.67,0,2.17,0,0,13,62.83,NA,257919
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.97,0,NA,65536
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,4.5,0,0,37.67,0,0,2.67,0,0,2.5,0,2.5,25.83,4,0,0,32.83,24.83,NA,261759
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,10,0,0,0,24,0,0,1.22,32.15,81.28,4.43,6.33,0.42,7.87,0,0,0,47.03,17.6,NA,253950
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,108.97,6.08,0,0,0,0,0,NA,6164
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,0,0,67.1,0,0,0,0,54.5,0,0,0,38.75,0,0,0,0,0,NA,37128
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,10,2.85,0,0,125.58,0,0,0.7,0,56.42,12.27,5.85,14.72,2.53,12.73,0,0,22.85,0,NA,130943
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4.83,91.35,0,0,0,0,0,0,0,0,0,0,NA,192
1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,5,6.33,0,0,0,0,0,12.5,22.5,0,0,0,0,21.5,6.17,0,0,0,0,NA,45285
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,23.25,0,0,0,0,0,6.15,0,0,0,35.52,NA,172160
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6.65,0,0,0,0,0,0,94.68,0,NA,66048
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,0,0,15.35,0,0,0,0,0,0,1.18,0,0,1.62,0,0,0,25.73,NA,140296
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,30.92,0,0,0,0,0,0,0,0,0,0,NA,32932
0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,8.8,19.7,0,0,0,0,0,0,81.88,NA,181830
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0.17,0,10.9,0,0,0,0,0,0,0,0,0,0,62.05,NA,163959
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0.12,0,0,0,0,0,0,6.63,0,0,0,0,0,0,NA,2064
