"a","b","c","d","e","f","g","h","i","j","stable","feasible","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star"
0,0,1,0,1,0,0,0,0,0,TRUE,TRUE,2,0,0,0.784209844911585,0,0.999396461819384,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0,TRUE,TRUE,3,0.736256297564229,0,0.292781826677853,0,0.840099980852541,0,0,0,0,0
0,1,1,0,1,0,0,0,0,0,TRUE,TRUE,3,0,1.09293713014412,0.0121549971537527,0,0.957054951559307,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,FALSE,FALSE,3,0.770004425743848,0.9457687500183,-0.397838549325063,0,0.796158177087783,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,FALSE,FALSE,1,0,0,0,1.93671502858354,-0.322715726902446,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,FALSE,FALSE,2,1.43066180093606,0,0,1.88684227055053,-1.04317076457976,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,TRUE,TRUE,3,0,1.07323101072814,0,0.324316217590273,0.686320940931717,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,FALSE,FALSE,3,0.973380203476541,0.766690423491863,0,0.750924137794444,-0.0920606120963479,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,TRUE,TRUE,3,0,0,0.613776583378726,1.11588496944405,0.103669640014655,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,FALSE,FALSE,2,2.17507229274092,0,-1.19612020836962,3.46051563829047,-2.24897675741028,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,FALSE,FALSE,3,0,1.07625657558956,-0.0312934893652727,0.361620816353776,0.66742621372922,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,FALSE,FALSE,3,1.89489101535533,0.604626228856565,-1.32537044936771,2.73475746174245,-1.62921059056219,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,TRUE,TRUE,1,0,0,0,0,0,2.58364363468632,0,0,0,0
1,0,0,0,0,1,0,0,0,0,TRUE,TRUE,2,0.075273228680889,0,0,0,0,2.52612783661716,0,0,0,0
0,1,0,0,0,1,0,0,0,0,FALSE,FALSE,1,0,-0.259576872365175,0,0,0,2.74172250324388,0,0,0,0
1,1,0,0,0,1,0,0,0,0,FALSE,FALSE,2,0.066930622291415,-0.260925610969996,0,0,0,2.69140260186666,0,0,0,0
0,0,1,0,0,1,0,0,0,0,FALSE,FALSE,1,0,0,-0.191685055632734,0,0,2.70080647617781,0,0,0,0
1,0,1,0,0,1,0,0,0,0,FALSE,FALSE,2,0.116660406141856,0,-0.254045283527473,0,0,2.64978317444368,0,0,0,0
0,1,1,0,0,1,0,0,0,0,FALSE,FALSE,1,0,-0.259440610446001,-0.0377793317858798,0,0,2.76473122187062,0,0,0,0
1,1,1,0,0,1,0,0,0,0,FALSE,FALSE,2,0.0799034732829473,-0.260899837994686,-0.0796256827928183,0,0,2.73014370057146,0,0,0,0
0,0,0,1,0,1,0,0,0,0,FALSE,FALSE,1,0,0,0,-0.813768796878541,0,3.13944683811095,0,0,0,0
1,0,0,1,0,1,0,0,0,0,FALSE,FALSE,2,0.0400398192125073,0,0,-0.781612367577832,0,3.0868898591821,0,0,0,0
0,1,0,1,0,1,0,0,0,0,FALSE,FALSE,1,0,-0.104096781236783,0,-0.684822167218686,0,3.11476998781774,0,0,0,0
1,1,0,1,0,1,0,0,0,0,FALSE,FALSE,2,0.0429168581439168,-0.116187138403519,0,-0.635378604054924,0,3.05557045497836,0,0,0,0
0,0,1,1,0,1,0,0,0,0,FALSE,FALSE,1,0,0,0.000450192803638005,-0.814278005229886,0,3.13951945742813,0,0,0,0
1,0,1,1,0,1,0,0,0,0,FALSE,FALSE,2,0.0511518838837555,0,-0.0500691696710969,-0.71605543153199,0,3.06422745047296,0,0,0,0
0,1,1,1,0,1,0,0,0,0,FALSE,FALSE,2,0,-0.0908074239855114,0.0377259169169188,-0.743955330923283,0,3.12400578043983,0,0,0,0
1,1,1,1,0,1,0,0,0,0,FALSE,FALSE,2,0.0414971611396107,-0.113634142766145,0.00611207739236397,-0.64659452866938,0,3.05902510127911,0,0,0,0
0,0,0,0,1,1,0,0,0,0,TRUE,TRUE,2,0,0,0,0,0.733445824264874,2.0397942664151,0,0,0,0
