"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
2.0894375077876e-14,5.57430299550814e-14,0,1.76873970040166e-14,0,2.67517943655101,0,0,19.0978977786289,2.09081460288823,0
0,0,1.16531783879779e-15,0,2.97477933082305e-15,2.73342964603094,4.78652548960765e-15,5.44127808532577e-15,12.9014707558194,0,1.93867975083876
2.08943750778877e-14,5.41759576251945e-14,0,1.91437417790652e-14,0,2.67517943655096,0,0,19.0978977786289,2.09081460288822,0
2.08943750778802e-14,5.19308325651917e-14,0,2.33788056126659e-14,0,2.67517943655096,0,0,19.0978977786289,2.09081460288822,0
0,0,5.55101743100285e-16,0,1.47667998460328e-15,0,2.37603048831017e-15,2.70104957320138e-15,14.1841125102319,3.07295946471273,5.28326309959757
2.08943750778701e-14,5.42849146681334e-14,0,0,0,2.67517943655096,0,0,19.0978977786289,2.09081460288822,0
0,5.5241727735602e-14,0,1.6688419472851e-14,0,2.67517943655096,0,0,19.0978977786289,2.09081460288822,0
4.25261385481867e-14,0,1.29498829726294e-14,0,0,2.67517943655097,0,4.0482899278575e-15,19.0978977786289,2.09081460288823,0
0,4.03925129229149e-15,0,1.49154159765237e-14,5.95581950922814e-16,2.67517943655096,4.64659098345486e-16,0,19.0978977786289,2.09081460288822,0
1.85727778470084e-14,4.97050757685032e-14,0,1.03010324647149e-14,0,2.67517943655096,0,0,19.0978977786289,2.09081460288822,0
