"Bar.action","undLac.action","uncLac.action","Oth.action","Bla.action","undMol.action","Akk.action","Cop.action","Clodif.action","Ent.action","undEnt.action"
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.00716244671035035,0,0,0,0,0,0,0
0,0,0,0,0.00716244671035035,0,0,0,0,0,0
0,0,0,0,0,0.00716244671035035,0,0,0,0,0
0,0,0,0,0,0,0,0.173903134003391,0,0,0
0,0,0,0,0.350450545882355,0,0,0.00716244671035035,0,0,0
0,0,0,0,0,0,0,0,0.00716244671035035,0,0
0,0,0,0,0.341861850987654,0,0,0,0,0.00716244671035035,0
0,0,0,0,0,0.341861850987654,0,0,0,0,0.00716244671035035
