"Bar.action","undLac.action","uncLac.action","Oth.action","Bla.action","undMol.action","Akk.action","Cop.action","Clodif.action","Ent.action","undEnt.action"
0,0.136505668127904,1.59027073870606,16.0170283545095,0,0,1.70941940718039,0,0,0,0
0,0,0.136505668127904,1.59027073870606,16.0170283545095,0,0,1.70941940718039,0,0,0
0,0,0,0,1.59027073870606,16.0170283545095,0,0,1.70941940718039,0,0
0,0,0,0,0.136505668127904,1.59027073870606,16.0170283545095,0,0,0,0
0,0,0,0,0,0.136505668127904,0,0,0,0,1.70941940718039
1.70941940718039,0,0,0,0,0,0,1.59027073870606,16.0170283545095,0,0
0,1.70941940718039,0,0,0,0,0,0.136505668127904,1.59027073870606,16.0170283545095,0
0,0,1.70941940718039,0,0,0,0,0,0.136505668127904,1.59027073870606,16.0170283545095
16.0170283545095,0,0,1.70941940718039,0,0,0,0,0,0.136505668127904,1.59027073870606
1.59027073870606,16.0170283545095,0,0,1.70941940718039,0,0,0,0,0,0.136505668127904
