"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
1.65031299206132,0,0,0,0,0,0,0,0,0,0
0,2.45035939666817,0,0,0,0,0,0,0,0,0
0,0,3.05263062706855,0,0,0,0,0,0,0,0
0,0,0,0.455237084114572,0,0,0,0,0,0,0
1.75840428895179,0,0,0.392271149896255,0,0,0,0,0,0,0
0,2.4921085250741,0,0.234346409851629,0,0,0,0,0,0,0
0,0,0,0,1.34991631228915,0,0,0,0,0,0
3.23121170867967,5.60493244684596,0,0,0,0,0,0,0,0,0
0,0,2.75505095754433,0,0.467164065130991,0,0,0,0,0,0
0,0.263958747148011,2.64376679931562,0,0.432185638319061,0,0,0,0,0,0
2.8404551893178,5.10578045819377,0,0,0,0,0,0,0,0,0
0,0.463486352081023,2.45382132043863,0.102814851271623,0.353238287187595,0,0,0,0,0,0
0,0,0,0,0,1.11351914047035,0,0,0,0,0
0,2.61710523762483,0,0,0,1.28089474192698,0,0,0,0,0
1.65054373270192,0,0,0.448111607086992,0,1.42469124964146,0,0,0,0,0
0,2.68392112527084,0,0.269354070869742,0,1.42554226346998,0,0,0,0,0
0,0,0,0,1.43138795823481,1.16837557827868,0,0,0,0,0
0.00449793125186124,0,0,0,1.43127283386731,1.16858273908585,0,0,0,0,0
0,2.18751211163537,0,0,0.854223727580082,1.28615756324825,0,0,0,0,0
0,0,3.26782746790677,0,0.388909568872995,1.23396742102206,0,0,0,0,0
0,0,0,0.500923125457649,1.02749204463552,1.41395365731615,0,0,0,0,0
0.549008395837213,0,0,0.481837388589767,1.02882908757234,1.42988248446417,0,0,0,0,0
0,2.406967461004,0,0.291232623543645,0.561499727976888,1.44075076872969,0,0,0,0,0
2.66737289828373,5.12730365947246,0,0,0.0413348400986999,1.54842731843086,0,0,0,0,0
0,0.13859451387802,3.13475614674075,0.0928239640171098,0.319949273388498,1.28426578704661,0,0,0,0,0
0,0,0,0,0,0,0.184899393622879,0,0,0,0
0,2.45035939666811,0,0,0,0,0.106845898792235,0,0,0,0
0,0,3.05263062706855,0,0,0,0.0375806818686329,0,0,0,0
0,0.284323175188397,2.9087609433897,0,0,0,0.0354669732326294,0,0,0,0
0.983196024237373,0,0,0.451667397040183,0,0,0.0587408182627307,0,0,0,0
0,2.49600582340074,0,0.256222743702083,0,0,0.0412592531193693,0,0,0,0
2.64946116384739,4.92404066185933,0,0,0,0,0.0103768756743555,0,0,0,0
