"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
2.82250904890105,5.12037034965113,0,0,0,0,0,0,0,0,0
0,0.565517939217773,2.37987831786192,0.105033792797048,0,0,0,0,0,0,0
0,0,2.51952270439549,0.137428690605432,0.535473475966872,0,0,0,0,0,0
0,0.480918611695495,2.0677982726715,0.14328556858417,0.522292784416459,0,0,0,0,0,0
0,0,0,0.50012279068116,0,1.37415901097572,0,0,0,0,0
2.98016540720642,5.55796091600561,0,0.0140154655628406,0,1.6164602652806,0,0,0,0,0
0,0,0,0,1.40203070744785,1.16725049225697,0,0,0,0,0
0,2.31219531315136,0,0.213512373138221,0,0,0.0762990868502791,0,0,0,0
0,0,0,0,1.37030242783425,0,0.0115968322914649,0,0,0,0
0,0,3.52669649477665,0,0,1.22742377858555,0.0239563190679373,0,0,0,0
0,2.29700514155217,0,0,0.711683830853216,1.28769744141959,0,0,0,0,0
2.98032645154055,5.56721269865709,0,0,0,1.60970074196234,0,0,0,0,0
0,0,3.22352997632392,0,0.75164501092816,1.23350634895182,0,0,0,0,0
0,2.28211955046532,0,0.267522889976403,0.45974472229953,1.41651016235817,0.00536144929948434,0,0,0,0
0,0.468201257832017,2.6008263524532,0,0,0,0,0.147515418068689,0,0,0
0,1.98982329422535,0,0,0.822639560561065,0,0,0.0759742950630691,0,0,0
0,0.331898677871665,2.3378355540807,0,0.59304791878163,0,0,0.0320997639263917,0,0,0
0,2.71459183974357,0,0,0,1.35399275454556,0,0.16723143182019,0,0,0
0,0,3.53193585589401,0,0,1.2406933292703,0,0.0327651622096288,0,0,0
0,0,3.56171594515962,0,0,1.23978248616693,0,0.0331971225485012,0,0,0
0,0,3.43544978762811,0.0882013890344515,0,1.27118558236478,0,0.00185722784128495,0,0,0
0,0,3.38942229532666,0,0.3483295932582,1.21678424073488,0,0,0,0,0
0,0,0,0.501096736952919,1.06027467523679,1.43100438259128,0,0.0392769080569861,0,0,0
0,0,0,0,0,0,0.0319794065138635,0.508592858287456,0,0,0
0,2.45799157833584,0,0,0,0,0.0009545262992115,0.245579741405845,0,0,0
2.62554429283945,4.9345693542041,0,0,0,0,0.00791368338727011,0,0,0,0
0,0.479792884772368,2.15399844653913,0.120575306600163,0.435639150962641,0,0.0122660868377682,0,0,0,0
2.81181876125488,5.39345305284366,0,0.0141766434385661,0,1.58454776570383,0,0,0,0,0
0,0,0,0.498130120376108,1.0447548183332,1.42541817018088,0.00292927598746232,0.0306597057164434,0,0,0
0,0,3.18782222187388,0.101804627006021,0.349652868375793,1.27093056576076,0,0,0,0,0
0,0,5.11751352549393,0,0,0,0,0,10.2236556827617,0,0
0,0,0,0.208594325414889,0,0,0,0,7.02609163460804,0,0
0,0.892994760943129,0,0,0.665687443100227,0,0,0,8.62024874594369,0,0
0,0,0.213223482783076,0.136927209797176,0.628100290051434,0,0,0,8.14482804142808,0,0
0,0,0.544907209493181,0.0678417431504363,0.494555403574823,0,0,0,8.99980489021856,0,0
0,0,0,0,0,2.13115877583939,0,0,13.3203954161818,0,0
0,0,0.0785753705905774,0,0,2.17510951650752,0,0,13.8624699826266,0,0
0,0,1.75149490022889,0,0,2.14885321575688,0,0,14.1958861946044,0,0
0,0,0,0,0.334813130159546,2.14412901778045,0,0,13.3249342181611,0,0
0,0,0,0,0,0,0.122438297379366,0,7.02609163460804,0,0
0,0,0.407001146250319,0.088540518560814,0,0,0.0647315192783752,0,9.16153653957241,0,0
1.51683118920698,0,0,0.714235827236192,0,0,0.278566581860586,0,2.36366580820894,0,0
0,0.297622381261687,0,0,0.879374450486533,0,0,0,8.63415446020458,0,0
0,0.286445605874231,0,0.117167323825765,0.778829009887161,0,0,0,8.57376600106247,0,0
