"Bar.outcome","undLac.outcome","uncLac.outcome","Oth.outcome","Bla.outcome","undMol.outcome","Akk.outcome","Cop.outcome","Clodif.outcome","Ent.outcome","undEnt.outcome"
0,0,0,0,0,2.63000435002384,0,0,17.9385604383799,1.38667147176386,0
0,0,0,0,0,2.63000435002384,0,0,17.9385604383799,1.38667147176386,0
0,0,0,0,0,2.63000435002384,0,0,17.9385604383799,1.38667147176386,0
0,0,0,0,0,2.33782193319244,0,0,9.72720126734097,0,0
0,0,0,0,0,2.33782193319244,0,0,9.72720126734097,0,0
0,0,0,0,0,0,0,0,9.72720126734097,2.33782193319244,0
0,0,0,0,0,2.63000435002384,0,0,17.9385604383799,1.38667147176386,0
0,0,0,0,0,2.63000435002384,0,0,17.9385604383799,1.38667147176386,0
0,0,0,0,0,2.63000435002384,0,0,17.9385604383799,1.38667147176386,0
0,0,0,0,0,2.63000435002384,0,0,17.9385604383799,1.38667147176386,0
