"Bar.action","undLac.action","uncLac.action","Oth.action","Bla.action","undMol.action","Akk.action","Cop.action","Clodif.action","Ent.action","undEnt.action"
0,0.098135267289975,1.75892530147532,17.5707984082162,0,0,2.17217942125381,0,0,0,0
0.0124039331037875,0,0.098135267289975,0,17.5707984082162,0,0,2.17217942125381,0,0,0
0,0,0,0.098135267289975,1.75892530147532,17.5707984082162,0,0,2.17217942125381,0,0
0,0,0.0124039331037875,0,0.098135267289975,1.75892530147532,17.5707984082162,0,0,2.17217942125381,0
0,0,0,0.0124039331037875,0,0.098135267289975,0,17.5707984082162,0,0,2.17217942125381
2.17217942125381,0,0,0,0.0124039331037875,0,0.098135267289975,1.75892530147532,17.5707984082162,0,0
0,2.17217942125381,0,0,0,0.0124039331037875,0,0.098135267289975,1.75892530147532,0,0
0,0,0,0,0,0,0.0124039331037875,0,0.098135267289975,0,17.5707984082162
17.5707984082162,0,0,2.17217942125381,0,0,0,0.0124039331037875,0,0,1.75892530147532
0,17.5707984082162,0,0,2.17217942125381,0,0,0,0.0124039331037875,0,0.098135267289975
0.098135267289975,1.75892530147532,0,0,0,2.17217942125381,0,0,0,0.0124039331037875,0
0,0,1.75892530147532,17.5707984082162,0,0,2.17217942125381,0,0,0,0.0124039331037875
0.0124039331037875,0,0.098135267289975,1.75892530147532,17.5707984082162,0,0,0,0,0,0
0,0.0124039331037875,0,0,1.75892530147532,17.5707984082162,0,0,2.17217942125381,0,0
0,0,0,0,0.098135267289975,1.75892530147532,0,0,0,2.17217942125381,0
0,0,0,0.0124039331037875,0,0.098135267289975,0,17.5707984082162,0,0,2.17217942125381
0,0,0,0,0.0124039331037875,0,0,1.75892530147532,17.5707984082162,0,0
0,2.17217942125381,0,0,0,0,0,0.098135267289975,1.75892530147532,17.5707984082162,0
0,0,0,0,0,0,0.0124039331037875,0,0.098135267289975,1.75892530147532,17.5707984082162
17.5707984082162,0,0,2.17217942125381,0,0,0,0.0124039331037875,0,0.098135267289975,1.75892530147532
0,17.5707984082162,0,0,2.17217942125381,0,0,0,0.0124039331037875,0,0.098135267289975
0.098135267289975,1.75892530147532,17.5707984082162,0,0,2.17217942125381,0,0,0,0.0124039331037875,0
0,0.098135267289975,0,17.5707984082162,0,0,2.17217942125381,0,0,0,0.0124039331037875
0.0124039331037875,0,0.098135267289975,1.75892530147532,0,0,0,2.17217942125381,0,0,0
0,0.0124039331037875,0,0.098135267289975,0,17.5707984082162,0,0,2.17217942125381,0,0
0,0,0.0124039331037875,0,0,1.75892530147532,17.5707984082162,0,0,2.17217942125381,0
0,0,0,0,0,0.098135267289975,1.75892530147532,17.5707984082162,0,0,2.17217942125381
0,0,0,0,0.0124039331037875,0,0.098135267289975,1.75892530147532,17.5707984082162,0,0
0,2.17217942125381,0,0,0,0.0124039331037875,0,0.098135267289975,1.75892530147532,17.5707984082162,0
0,0,0,0,0,0,0.0124039331037875,0,0.098135267289975,1.75892530147532,17.5707984082162
0,0,0,2.17217942125381,0,0,0,0.0124039331037875,0,0.098135267289975,1.75892530147532
1.75892530147532,0,0,0,2.17217942125381,0,0,0,0.0124039331037875,0,0.098135267289975
